question_processed,cluster
can you explain to me what is the covid19,about
i was in contact with a person who had coronavirus what should i do ,about
may i know what is corona,about
my employer has fired me because of covid19 what should i do,about
my kids are anxious about covud19  what shall i tell them,about
what is a vaccin becoming available,about
what is corona,about
what is corona virus,about
what is corona virus and covid19,about
what is coronavirus,about
what is coronavirus ,about
what is cover,about
what is covi,about
what is covid,about
what is covid 19,about
what is covid 29,about
what is covid1,about
what is covid19,about
what is covid19 ,about
what is covid19 virus,about
what is covid19s definition,about
what is covid19what is covid19,about
what is covid2019,about
what is the best way to curate information about covid19,about
what is the best way to self diagnose covid19 ,about
what is the coronavirus,about
what is the covid,about
what is the covid19,about
what is the impact of covid 19 on warehouses,about
what is the impact that covid19 has in the economy,about
what is the meaning of covid19,about
what is the origin of covid19,about
what is the relationship between covid19 and other lung diseases,about
what is the status of covid19,about
what should be peoples actions for surviving covid19 ,about
what should i eat or drink to avoid or to battle covid19,about
what si coronavirus,about
whats a waiting time to get covid19 results,about
whats considered to be a fever to worry about is anything above 37 centigrade something to worry about ,about
whats corona,about
whats corona virus,about
whats covid19,about
whats covid19 ,about
whats is covid19,about
whats the current state of covid,about
whats the data on first and second trimester of pregnancy,about
whats the time period of detecting coronavirus,about
are masks efficient to prevent the one wearing from getting infected what about infecting others,caution
do i need to take precautions when picking up the mail ,caution
do we need to prevent touching packing of fooddoes corona virus lie on packing  and on clothes ,caution
does washing clothes in the  washing machine prevent transmission  ,caution
does wearing mask protect me from covid 19,caution
hello i am social distancing and taking precautions however i have to share a communal sink i try to stay as safe as possible by cleaning it but i have touched the knobs with my bare hands without thinking can germs spread this way should i avoid the sink in general thank you ,caution
how can i help to prevent spread of corona virus,caution
how can i prevent myself from getting sick,caution
how can i prevent to get infected,caution
how can i protect ,caution
how can i protect myself,caution
how can i protect myself ,caution
how can i protect myself from the covid19,caution
how can i protect myself if i need to go to the market,caution
how do i keep my family safe ,caution
how protect myself,caution
how should i keep my family safe during covid19,caution
how to prevent ,caution
how to prevent the spread of covid19,caution
how to protect from covid19,caution
how to protect my family from covid19,caution
how to protect myself from it ,caution
how to protect myself on a plane,caution
i am a 62yearold female currently in excellent health i have had a history of chronic bronchitis and pneumonia but its been over a decade since my last issue i have two adult children who may have to move back home how do i protect myself against what they my bring home,caution
if i contract the virus does wearing a mask prevent others getting infected,caution
is it safe to travel in domestic flight with precautions,caution
is washing my hands really the best way to prevent transmission,caution
my employer is not implementing social distancing or safety measures in my workplace what recourse do i have,caution
my sisterinlaw is pregnant and lives in a house with extended family where one member is isolated due to possible contact with someone with covid19 are the risks for pregnant woman higher how can she protect,caution
precautions to measure ,caution
what are the ways to prevent coronavirus,caution
what can i do to prevent myself from contracting coronavirus,caution
what can i do to prevent myself from getting covid19,caution
what can i take to prevent coronavirus,caution
what can we do to protect ourselves from covid19,caution
what is the best way to protect yourself from covid19,caution
what is the difference between a pandemic  epidemic why did who declare this a pandemic what is the difference between social distancing selfisolating and quarantine to what extent is social distancing helpful why should i do this when should you selfisolate will the virus be less effective when we get warmer weather  when should i go to the hospital should i get tested if i was in contact with someone who has or is suspected of having covid19 but do not have any symptoms should i stop taking medications that suppress my immune system  when someone in the household is coming and going for work how can we keep the home a safe place can the virus be transmitted through air conditioning from outside or from within the home how long does the virus last on inanimate objects plastic glass cardboard metal what have we learned from countries like china south korea and singapore that have been dealing with this for a longer period of time and have slowed the spread,caution
what is the most effective way to protect your self from this virus ,caution
what kind of protective gear do i need to wear,caution
what precautions should i take at the supermarket,caution
what precautions should i take while shopping for groceries should i wear a mask andor gloves do i need to disinfect the items i buy ,caution
what precautions should i take with things delivered at home,caution
what precautions should pregnant women take on top of everyone else,caution
what shall i do if i have to go out to buy things to protect myself from corona virus,caution
where can i buy protective masks,caution
would it help to ensure there is a warehouse already filled with protective gear for health professionals worldwide instead of scrambling or ordering these last minute and also have enough hospitals built because if we dont do that well have to do what china did and build a hospital at the last minute,caution
after how much time clothes or packets can be out of risk from spreading virus ,dangerisk
are babies at high risk ,dangerisk
are patients with sarcoidosis more at risk of dying from covid19,dangerisk
are pregnant women at high risks,dangerisk
are there any risk for the foetus ,dangerisk
do pregnant women have a higher risk factor,dangerisk
how at risk are young people with immunodeficiencies,dangerisk
how dangerous is it,dangerisk
how dangerous is it for me,dangerisk
how dangerous is the cov19,dangerisk
how dangerous is the virus,dangerisk
how dangerous it is for pregnant womens,dangerisk
how to reduce the risk,dangerisk
i am 24 years old what is my risk of having severe symptoms of the virus  ,dangerisk
i had an asthma attack when i was young but didnt have an episode for over 15 years am i still at risk,dangerisk
i live with a smoker  am i at high risk for covid19,dangerisk
im 8 months pregnant m i hight risk,dangerisk
is covid very dangerous,dangerisk
is covid19 dangerous,dangerisk
is it dangerous to go for a walk,dangerisk
is it dangerous to order on line,dangerisk
is it dangerous to travel,dangerisk
is the virus dangerous,dangerisk
ive had a mild case of pneumonia before im 30 years old am i at any additional risk ,dangerisk
my fatherinlaw is more at risk because of his age should my motherinlaw be the one to get groceries or should we do it for them to lower the risk of my motherinlaw being a transporter of the virus,dangerisk
someone from quarantaine came to my office and stayed 20min is it a risk,dangerisk
what  of young people under 50 hospitalized with covid19 have underlying health conditions that put them at a higher risk of having a more severe form of the illness ,dangerisk
what are the risk factors for covid19,dangerisk
what are the risks for a person between 20 and 40 years old with asthma,dangerisk
what are the risks for people with diabetes ,dangerisk
what are the risks for someone aged 65,dangerisk
what are the risks to pregnancy in week 12,dangerisk
what is my level of risk,dangerisk
what is the risk for a pregnant women,dangerisk
what is the risk for a pregnent woman ,dangerisk
what is the risk for an asthmatic ,dangerisk
what mesures needs to take a pregnant women to reduce the risk,dangerisk
whats the risk for pregnant health care workers,dangerisk
who is at risk,dangerisk
who is at risk of dying after contracting the virus,dangerisk
who is most at risk ,dangerisk
why corona is so dangerous ,dangerisk
how can i distinguish an itchy throat due to covid19 to the one due to potential acid reflux caused by high levels of stress and anxiety,diff
how can you distinguish between a flu and covid19,diff
how do i distinguish between the flu and coronavirus,diff
how long will it last,future
how long will the crisis last,future
how long will the pandemic last,future
is there an estimate as to how long the crisis will last,future
when it will end,future
when this all will be over,future
when this will ever end ,future
when will be done,future
when will covid end,future
when will covid end ,future
when will it be over,future
when will it get over,future
when will the pandemic end,future
when will the pandemic end ,future
when will this be over,future
when will this end,future
when will this end ,future
when will this will get back to normal,future
 my wife gave birth two days ago at the jewish general hospital now that we are home we are home is it safe to get our 3 year old from my sisters house or should we quarantine ourselves for 14 days,guideme
after recovering from the virus if you catch it again can you still spread it even if you dont show symptoms because your body knows how to fight it,guideme
am i immune if i already got covid19,guideme
am i safe to go out if i am under 20 years old,guideme
are there different degrees of severeness of the virus,guideme
can i be contagious even if i dont have symptoms ,guideme
can i get corona if i recover from it ,guideme
can i get covid19 again if i already was infected with it,guideme
can i get ovid 19 if someone pets my dog and then i pet her ,guideme
can i get tested if i dont have any symptoms,guideme
can i go for a walk outside in my neighborhood if i am voluntary isolation ,guideme
can i go out after recovery even if i am still in quarantine time,guideme
can i infect someone if i dont have symptoms,guideme
can i move in with family if we have all been symptom free for 14 days,guideme
can i still go out for grocery shopping even if im just getting back from vacations,guideme
can i travel to see my relatives in a different town,guideme
can you see friends if you stick to the social distancing guidelines,guideme
difference between the flu and the virus,guideme
do i need to get tested if i dont have a fever,guideme
do i need to get tested if i just have a sore throat,guideme
do i need to stay away from my family members if were all social distancing together in the house,guideme
do i qualify for cerb if i only lost one of my two jobs,guideme
do kids show symptoms if they get covid 19,guideme
doeas the software is automatic in english because i use an english device if i ask in french the answer will be in french,guideme
does it feel just like flu or is it different,guideme
hat should i do if my 2 year old child starts having a runny nose,guideme
hi i am wondering if small business owners are eligible for some kind of benefit from,guideme
hi im wondering if i need to isolate,guideme
how are the symptoms different then the cold or flu,guideme
how can i differ between covid and normal flu ,guideme
how can i find out if im an asymptomatic carrier,guideme
how can i get tested if im asymptomatic,guideme
how can i know if any of the financial packages released by the government apply to me,guideme
how can i make the difference between a cold and covid19,guideme
how can i tell if my lungs are not functioning well,guideme
how do i avoid getting family members sick if im sick from covid19,guideme
how do i buy groceries if i am in self quarintine,guideme
how do i know if i am affected,guideme
how do i know if i am following the rules of social distancing correctly,guideme
how do i know if i am infected by new coronavirus,guideme
how do i know if im asymptomatic despite having contracted the coronavirus ,guideme
how do i know if im infected,guideme
how do i know if im symptomfree ,guideme
how do i know if my chest is hurt because lung damage or another cause,guideme
how do i know if my cough is serious,guideme
how do you differentiate between covid19 and the flu,guideme
how do you know if you are sick,guideme
how does it manifest in the human system,guideme
how effective is the new drug manufactured by fujifilm toyama chemicals in treating covid19,guideme
how is this virus different from other flulike viruses,guideme
how long am i contagious if i get covid19 ,guideme
how long are you contagious if you have coronavirus,guideme
how long will i be sick if i get the virus,guideme
how often should you be going to do groceries in person if you cant do delivery ,guideme
how painful will it be if i got the virus,guideme
how to differentiate between coronavirus and simple flu,guideme
how to know if i get covid19 or not,guideme
i am 43 whats the chance of my survival if i get covid ,guideme
i work in a mall and just found out another employee in a different store is a possibly infected should i be worried ,guideme
i would like clarifications about the fact that test results dont work if you dont have symptoms that does not seem like a commonality we usually see with tests like this,guideme
if grocerie stores close what will i eat,guideme
if i am starting to breath heavily should i get it checked out,guideme
if i catch the virus once can i catch it a second time,guideme
if i catch the virus will i be immune from getting it again   ,guideme
if i cross someone on the street how are the chance to catch the virus ,guideme
if i do not have systoms could i still have the virus ,guideme
if i do not show syntoms can i still be tested,guideme
if i experience symptoms but they are manageable should i still go to the hospital for testing,guideme
if i feel stressed can i start feeling symptoms without having coronavirus,guideme
if i finished radiation and chemotherapy 2 months ago and i considered more susceptible to catching covid19 ,guideme
if i fully recover from covid19 would i still be considered a carrier and transmit the virus,guideme
if i inhale a high concentration of soap bubbles would that kill the virus on contact in my lungs,guideme
if i touched a contaminated surface and rub my eyes  can i get infected ,guideme
if i traveled from vancouver to quebec city do i need to quaratine  ,guideme
if i was traveling abroad recently what should i do when coming back home,guideme
if im below the age of 30 will i notice symptoms if im sick,guideme
if im exposed to a person whose children still work but in laval  an area that hasnt yet seen a case should i be really worried,guideme
if im in selfquarantine with mild symptoms of some sort of respiratory thing when can i stop selfquarantining,guideme
if im sneezing should i get tested for corona virus,guideme
if infected should i just rest at home for 14 days and ill be okay ,guideme
if my dog is infected where do i take him to get him help,guideme
if my son if suppose to get tested tomorrow but just starting to feel better can i cancel or should we still go,guideme
if my spouse was in contact with someone who is covid19 positive do i need to quarantine myself too do i need to get tested,guideme
if one member of a household is tested positive does he or she have to be quarantined outside their home or in a separate room the household members might already have gotten it already but are stoll,guideme
if someone had pneumonia before are they more at risk,guideme
if someone was infected once can they be reinfected can they still carry the virus and infect others,guideme
if there any possibility to get infected if i did not have any contact with someone infected ,guideme
if this is really deep learning how deep is your model,guideme
if you are a fireman and have been sick do you need to be tested before going back to work ,guideme
if you are a fireman and have had the coronavirus when should you go back to work,guideme
if you contract covid19 how do you treat yourself at home,guideme
if you get it once will you not get it once again,guideme
if you recover from the virus can you still be a carrier ,guideme
if you start showing flu symptoms should you consult a doctor or stay home,guideme
is it possible to get covid if i am missing my children,guideme
is it possible to have covid19 if you only have one of the symptoms,guideme
is it worth getting assessed if my symptoms are not severe,guideme
is there a difference between washing hands in warm and cold water,guideme
is there a different varient of virus which is spreading across the world,guideme
is there a specific hospitalclinic i should go to if my symptoms are too severe for me to stay at home ,guideme
is there a test to see if you have antibodies for the virus,guideme
my head hurts my body aches a little and i feel a cold coming how do i know if this is covid19 or just an ordinary cold,guideme
my wife gave birth two days ago at the jewish general hospital now that we are home we ,guideme
pouvez vous me répondre en français sinon je suis parfaitement bilingue je travaille dans lindustrie de solutions technologie and it would be my pleasure to help this project any way i can jennifer charron at workday canada from montreal ,guideme
should he self isolate when he gets here even if he feels well,guideme
should i be worried about getting sick if the government does not lock down everything,guideme
should i call to find out more its the coughing and difficulty breathing and fatigue that worries me,guideme
should i go to the er or my physician directly if im infected,guideme
what are differences in term of symptoms between the new coronavirus and normal flu cod,guideme
what are the differences between the flu and covid19,guideme
what are the risks if i go to the supermarket,guideme
what are the symptoms i should feel if i am infected with corona virus,guideme
what do i do if 811 says to stay home with my symptoms but i feel its bad enough to be seen in person can i show up to the er do i call 911 ,guideme
what do i do if i suspect im infected,guideme
what do i do if someone with covid19 spotted,guideme
what if i am having anxiety or stress ,guideme
what if i got fever,guideme
what if i returned from international travel a day before the advisory came into effect,guideme
what if just have a mild sore throat ,guideme
what is the difference between a bacteria and a virus,guideme
what is the difference between covid19 and coronavirus ,guideme
what is the difference between influenza and the coronavirus,guideme
what is the halflife of coronavirus,guideme
what is the life of covid19 virus,guideme
what is the likelihood of having covid if only showing one symptoms for example dry cough,guideme
what measures can i take if someone i know is effected with the virus,guideme
what range is the fever at normally if covid19 suspected,guideme
what shall i do if i cant find sanitizer to buy in stores,guideme
what should i do if a family member is quarantined,guideme
what should i do if i am infected ,guideme
what should i do if i am short of breath,guideme
what should i do if i dont feel any symptoms,guideme
what should i do if i start coughing,guideme
what should i do if i start feeling sick with similar symptoms as in covid19,guideme
what should i do if i think i infected by corona virus,guideme
what should i do if i think that im infected ,guideme
what should i do if im feeling any of the symptoms,guideme
what should we do if we have fever now,guideme
what should you do if you dont have water and soap and sanitizer,guideme
what the different between corona and covid_19,guideme
what to do if i am infected ,guideme
whats the difference between covid19 and cold,guideme
whats the difference between covid19 and coronavirus,guideme
whats the point of asking you questions if you dont have answers,guideme
whats the timeline of the appearance of different symptoms,guideme
when will life get back to normal,guideme
when will the municipalities post heat maps to identify hot spots for covid positive residents,guideme
when will we know if the school year is cancelled,guideme
where do i go if i feel i am affected,guideme
where should i go if i am sick,guideme
who can i make the difference between a cold and covid19,guideme
whom should i consult if i feel i am affected,guideme
why isnt canada making people get tested if they show signs of covid after travelling within canada ,guideme
will covid19 mutate to a different more virulent strain,guideme
will the hospital let me die if there are no ventilators left and a younger person needs it too can we share it,guideme
would it help eradicate viruses immediately if we put in place proper healthcare systems throughout every country rich or poor and to also have enough health professionals worldwide in place who will immediately recognize if there is a contagious virus in their city to eradicate it before it spreads,guideme
would using heatedvapor humidifier help with sanitizing the sinuses of the covid19,guideme
how long does the incubation period last,incubation
how long does this virus incubate ,incubation
how long is incubation period ,incubation
is the severity of disease dependent on incubation period ,incubation
is the virus infectious during incubation period,incubation
what are symptoms in the incubation period,incubation
what is the incubation period ,incubation
what is the incubation period for covid19,incubation
what is the incubation period of covid19,incubation
what is the incubation time of covid19 by age,incubation
what is the incubation time of the virus,incubation
what is the longest known asymptomatic incubation period,incubation
what is the period of incubation,incubation
whats the incubation period ,incubation
whats the incubation period of the covid19 virus,incubation
am i infected,infection
are covid19 outcomes worse for those who are infected and suffer from asthma ,infection
are there any anticipated long term effects postinfection,infection
can antibiotics deal with viral infection,infection
can i be coughing without fever and be infected,infection
can i get infected after i healed from it,infection
can i get infected from a newspaper,infection
can i get infected from food or grocery delivery,infection
can i get the virus from breathing infected airborn particules,infection
can my dog be infected with it,infection
can you get be infected more than once ,infection
does everyone infected need a respirator,infection
eyes infection is correlated,infection
for a healthy youngmiddleaged adult to get infected but recover by hisher own what would be the possibility to have his or her lung permenantly damaged,infection
from the infected worldwide population what will be the ratio of asymptomatic people,infection
how covid19 virus infected,infection
how do people get infected with coronavirus,infection
how i can get infected,infection
how i can isolate infectedquarantined family member at home where kids and other family members share common space,infection
how likely will i get reinfected,infection
how long does it last once infected ,infection
how long does it take for an infected person to show symptoms ,infection
how long does it take for you to feel symptoms once you are infected,infection
how long until an infected person shows symptoms,infection
how many are infected in brossard,infection
how many days does it take for the infection rates to double,infection
how many infected person in south korea,infection
how to avoid this infection,infection
how to deal with disinfection of day to day use objects,infection
how to help a friend that is infected,infection
how to take care of infected people ,infection
i feel tired often at home am i infected,infection
i need to take a blood test is there a large risk for infection,infection
i think i am infected what do i do,infection
im coughing because of postnasal drip and i travelled in the last 14 days could i be infected,infection
is it possible to be infected again,infection
is it true that in fine we will all get infected at some point with this novel strand of the coronavirus,infection
is there a correlation between exposure time and the severity of a covid19 infection,infection
is there any possibility of infected corona virus second time,infection
is there any possibility of infected corona virus twice second time,infection
my throat is tingling am i infected,infection
on a recent study published in nature it says that the severity of symptoms of covid19 infection depends on how much is your angiotensin converting enzyme 2 gene is expressed my question is on what factors does the rate of ace2 gene expression depends i,infection
once recovered can i be infected with corona again,infection
what are the best ways to discourage covid19 infection,infection
what are the demographics of people infected hospitalized and deceased in quebec ,infection
what are the survival rate by age brackets for those infected,infection
what are the symptoms of covid19 by day of infection,infection
what can i do to improve my chances of recovery before i get infected,infection
what is the current rate of infection,infection
what is the current situation of covid19 infections,infection
what is the estimated population that will be infected by the covid19 virus,infection
what is the rate of infection spread,infection
what rate of infection is projected in quebec what percentage of the population will contract covid19,infection
whats my risk of being infected,infection
which country infected  ,infection
can i hug my kids while social distancing,isolation
can i leave my pet with a family member or is that against the premise of social distancing,isolation
can i meet with my neighbours who have been in isolation for 14 days,isolation
how long do we need social distanciation for the virus to be less of a threat ,isolation
how long should we try to maintain social distancing,isolation
how long will it take before we can stop social distancing,isolation
how long will social distancing measures last,isolation
how many days should i isolate for,isolation
how much longer will society need to socially isolate,isolation
how to prepare for isolation,isolation
i feel lonely from isolation,isolation
is it safe for seniors to go out for a walk or inside shopping malls which are quite isolated these days,isolation
is it safe to go outside for a walk social distancing from others,isolation
should i practice social distancing ,isolation
we are an essential service business i am looking for direction from health authorities to help determine a protocol to determine when an employee should self isolate based on living with or coming into contact with people who are ill or suspected of having covid 19,isolation
what are the impacts of not respecting social distancing,isolation
what is self isolation,isolation
what is selfisolation,isolation
what is social distancing,isolation
when should i end self isolation,isolation
when will the social distancing end and what is the economic consequent of the pandemic,isolation
who needs to be isolated,isolation
who needs to isolate,isolation
why is social distancing important,isolation
will nhs workers be even more isolated because they are exposed to the virus on a daily basis,isolation
will social distancing slow the spread of covid19,isolation
after my 14 days isolation can go out for a walk can i visit my grand sons of 6 years old and 13 months,lockdown
am i allowed to go for a walk,lockdown
am i allowed to go outside,lockdown
am i allowed to go outside for joggins,lockdown
are vet clinics still open,lockdown
can i go for a run does runningexercise compromise my immune system ,lockdown
can i go for a walk,lockdown
can i go for walking ,lockdown
can i go outside and take a walk without getting the virus,lockdown
can i go to the supermarket,lockdown
can i start seeing close family after a 14 day confinement,lockdown
can i walk on the street during outbreak,lockdown
can my family and i take walks around the block,lockdown
can you go for a walk even though everyone is being told to stay home,lockdown
could stores open a few hours a week for the elderly ,lockdown
does delivery is still open,lockdown
how long do you think we will have to be in a lockdown ,lockdown
how many days since switzerland closed schools,lockdown
i  take daily walks but keep a 6 ft distance when i talk to someone is that ok,lockdown
i am having trouble breathing should i go to the hospital,lockdown
i am in self isolation   is it ok to let in family members who must continue to go to work,lockdown
i got tested and it came back negative can i go back outside and go for a run,lockdown
is it ok for me to take a daily walk in the neighborhood residential area,lockdown
is it ok i go out for a walk alone,lockdown
is it ok to go for a walk  ,lockdown
is it ok to go outside to get fresh air,lockdown
is my school in montreal closed,lockdown
is the grocery open,lockdown
is the liquor store open,lockdown
lets say i go for a walk and i wear the same leggings a few times before washing them can clothing potentially pass on the virus  ,lockdown
ppl are still going out to walk out dogs and get some groceries what is transmission situation when in grocery store gas pump  avoiding using cash can help ,lockdown
should i go out for a walk in the park everyday,lockdown
should i go to the hospital,lockdown
should you go on dates indoors and outdoors in montreal right now ,lockdown
when can i go to my cabin,lockdown
when do i go to the emergency room when should i stay at home to deal with fluvirus like symptoms ,lockdown
when lockdown will be stopped,lockdown
when should i go to the er,lockdown
when should i go to the hospital,lockdown
