,cluster_#0,cluster_#1,cluster_#2,cluster_#3,cluster_#4,cluster_#5,cluster_#6,cluster_#7,cluster_#8,cluster_#9,cluster_#10,cluster_#11,cluster_#12,cluster_#13,cluster_#14,cluster_#15,cluster_#16,cluster_#17,cluster_#18,cluster_#19,cluster_#20,cluster_#21,cluster_#22,cluster_#23,cluster_#24,cluster_#25,cluster_#26,cluster_#27,cluster_#28,cluster_#29,cluster_#30,cluster_#31,cluster_#32,cluster_#33,cluster_#34,cluster_#35,cluster_#36,cluster_#37,cluster_#38,cluster_#39,cluster_#40,cluster_#41,cluster_#42,cluster_#43,cluster_#44,cluster_#45,cluster_#46,cluster_#47,cluster_#48,cluster_#49,cluster_#50,cluster_#51,cluster_#52,cluster_#53,cluster_#54,cluster_#55,cluster_#56,cluster_#57
8,what are the syptoms?,"What are the daily death rates in Italy, that are Not from COVID19?",I am feeling sick ,What the different between corona and COVID_19?,Can I get the virus from a stray cat?,what is my level of risk?,How many cases are in spain ?,Is it safe to go outside for a walk (social distancing from others)?,How do I know I have covid?,-,where can I test for covid,"In this time of crisis, is it okay to feed the raccoons",How contagious is the virus?,Shall we stay where we are or travel to our home country?,-,What are the Symptom for covid19,how long people live after being infected by coronavirus,-,How many people died in Belgium?,-,I have fever 38Â°C. Is that corona virus symptoms?,-,Get I get infected from a dog?,-,-,-,-,-,Does eating Oranges daily help to fight this virus,-,-,-,-,-,-,-,-,-,-,symptoms of covid-19,-,-,-,-,-,-,-,What is COVID-19,-,What are symptoms ,-,-,-,-,-,-,-,-
9,How many infected person in south korea?,Mortality rate today,What should I do if I start feeling sick with similar symptoms as in covid19?,How do I distinguish between the flu and coronavirus?,What are the most common symptoms of COVID-19?,If I have diabetes am I at a higher risk? ,How many cases in Canada now ? ,Is it dangerous to go for a walk?,How do I know if I have been infected?,-,Where do we get the test for COVID-19?,how long does COVID-19 virus lasts in the body?,If you start showing flu symptoms should you consult a doctor or stay home?,Does covid transfer through air?,-,Covid19,how many case positive with COVID-19 ?,-,how many people have died,-,What is corona virus and COVID19,-,Can antibiotics deal with viral infection?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,what are covid-19 symptoms?,-,-,-,-,-,-,-,Why Covid 19?,-,What are the Symptome ,-,-,-,-,-,-,-,-
10,Are there still flights within Canada?,What is the total number of deaths ,How long will I be sick if I get the virus,What is the difference between a bacteria and a virus?,I would like clarifications about the fact that test results don't work if you don't have symptoms. That does not seem like a commonality we usually see with tests like this.,-,What places of laval has covid-19,When can I go to my cabin?,How to know if I get COVID-19 or not?,-,List of Canadian hospitals treating (not testing) patients with COVID-19?,How long can the virus live?,-,Should I stay home?,-,-,how many people positive with Covid-19 in the world?,-,how many people died so far?,-,What is corona virus?,-,From the infected worldwide population what is the ratio that will need medical attention (eg. ICU or ventilators)?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,what are covid symptoms,-,-,-,-,-,-,-,what is covid 19,-,Symptom,-,-,-,-,-,-,-,-
11,Precautions to measure? ,What is the death rate in South Carolina?,What should I use to disinfect grocery bags and grocery items? ,-,good morning,-,how many new cases,Is it safe to take a walk outside with my child?,How do I know when to get tested?,-,Were can I get tested? ,How long does COVID-19 live on glass surfaces?,-,-,-,-,how many people related covid-19,-,-,-,Corona virus characteristics,-,"If someone was infected once, can they be reinfected? Can they still carry the virus and infect others?",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,What are the symptoms of COVID-19,-,-,-,-,-,-,-,What is Covid 19,-,what is the symptoms?,-,-,-,-,-,-,-,-
12,How many confirmed cases in Ontario now?,-,is the liquor store open?,-,How severe is the virus? ,-,How many cases of coronavirus in Madagascar,-,-,-,I was very sick with covid symptoms in late February and still coughing . Should I go get tested,What do I have to expect after the disease?,-,-,-,-,-,-,-,-,is there a new form of corona virus?,-,"Does Pneumonia vaccine, which is for a bacterial infections, helps the immune system to deal with the viral infection of Covid-19 more easily? By removing the possibility of bacterial infection and just focusing on viral infection!",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,What is covid-19?,-,What are the symptoms?,-,-,-,-,-,-,-,-
13,"If Iâ€™m sneezing, should I get tested for corona virus?",-,What should I buy from the stores now that I feel sick?,-,What is the incubation time of covid-19 by age,-,-,-,-,-,"If my son if suppose to get tested tomorrow, but just starting to feel better. Can I cancel or should we still go?",Is there an estimate as to how long the crisis will last?,-,-,-,-,-,-,-,-,What's the current count in India,-,How covid-19 virus infected?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,What is COVID 19,-,What are the symptoms,-,-,-,-,-,-,-,-
14,Is headache a symptom of this pandemic? ,-,-,-,I heard hydroxychloroquine is a good treatment for COVID-19. Where can I get it?,-,-,-,-,-,where can I get tested,is it made by human or by nature,-,-,-,-,-,-,-,-,can you please tell me symptoms of corona virus?,-,From the infected worldwide population what will be the ratio of asymptomatic people,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,About COVID-19,-,What are the symptoms,-,-,-,-,-,-,-,-
15,How much longer will society need to socially isolate?,-,-,-,Are research fundings going to be cut as a result of the virus?,-,-,-,-,-,"To get an idea of how widespread the virus is, why don't we simply test a random sample of people?",How long is this expected to last?,-,-,-,-,-,-,-,-,How many Canadians currently have corona virus?,-,How COVID-19 is infecting?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,What is COVID-19?,-,-,-,-,-,-,-,-,-,-
16,mental health,-,-,-,age wise statistics for covid-19,-,-,-,-,-,What are covid-19 test centres location in Montreal?,-,-,-,-,-,-,-,-,-,Why is called COVID-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,what is covid-19,-,-,-,-,-,-,-,-,-,-
17,Chlono,-,-,-,What are the symptoms of SARS-COV-2,-,-,-,-,-,how i can test if i have the diease?,-,-,-,-,-,-,-,-,-,I'm feeling dizzy with fever do I have corona? ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,What is covid-19?,-,-,-,-,-,-,-,-,-,-
18,Where can we find ventilator?,-,-,-,what are cov19 symptoms,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,What are the symptoms of corona virus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,What is COVID-19?,-,-,-,-,-,-,-,-,-,-
19,Should I star home and even avoid going to the supermarket and drugstore?,-,-,-,"If I'm below the age of 30, will I notice symptoms if I'm sick?",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,What are the symptoms I should feel if I am infected with Corona virus?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,what is covid-19,-,-,-,-,-,-,-,-,-,-
20,"In the U.S., why has the Defense Production Act not been invoked to allow weekly (?) testing of every single person present in The United States?  Yes, this is on the scale of industrialization of the WW2 era, and yes, that is *exactly* what the Defense Production Act is for.",-,-,-,Whatbare the symptoms,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,How is the corona virus being spread,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Covid-19,-,-,-,-,-,-,-,-,-,-
21,why is my dick so big,-,-,-,How do I know if my chest is hurt because lung damage or another cause?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,What is corona,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Whatâ€™s COVID-19?,-,-,-,-,-,-,-,-,-,-
22,How often should i take my temperature?,-,-,-,I feel heaviness  in my chest nothing else from last 2 week ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,What is corona,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,What is the advice surrounding outdoor exercise/sport?,-,-,-,Does COVID 19 cause stomach issues,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,Will NHS workers be even more isolated because they are exposed to the virus on a daily basis?,-,-,-,What are the early symptoms of COVID-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,"How long could the virus stay alive on doorknobs, traffic signal buttons, stair rails?",-,-,-, When should I consult after the vomitting symptoms for a 4 y-o child? ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,When should I visit a doctor?,-,-,-,What are the real symptoms of covid-19 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,"Would it help eradicate viruses immediately if we put in place proper healthcare systems throughout every country, rich or poor, and to also have enough health professionals worldwide in place who will immediately recognize if there is a contagious virus in their city to eradicate it before it spreads?",-,-,-,Can you catch covid 19 after having had it before ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Is it safe for seniors to go out for a walk or inside shopping malls which are quite isolated these days?,-,-,-,Does my neighbour have covid-19 symptoms?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,Can COVID-19 stay alive on fresh fruit and vegetables?,-,-,-,Where do I go if I have mild symptoms?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,"Hello, what happens after corona?",-,-,-,what are the risks for someone aged 65?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,I worry for my mental health during quarantine,-,-,-,What is the origin of COVID-19?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,When will the schools reopen?,-,-,-,what is covid-2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,Is it true that you can get the virus again even after you've recovered ,-,-,-,how old are you?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,Does Quebec Health Public System have the capacity to fight this COVID-19 outbreak ?,-,-,-,Can my cat get the virus?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,When will be done?,-,-,-,What is covid 29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,Does temperature has any effect on the virus,-,-,-,My brother has COVID-19. What to do?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Why is Trudeau asleep?,-,-,-,"if someone had pneumonia before, are they more at risk?",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,Is ACE Inhibitor harmful ,-,-,-,Can you smoke cannabis during Covid?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,Will 1 meter distancing safe?,-,-,-,Will people on LTD (Long Term Disability) drill receive their payments?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,How does COVID-19 affect lungs? And how do you see this pandemic will impact the world's economy?,-,-,-,What are the covid simptons?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,Does taking high doses of vitamin C and D help fighting the disease? As an immune system booster! Is there any study on that?,-,-,-,"I would like to get COVID19 test, where can I get it?",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,Will there be any changes in PGWP?,-,-,-,What do I do if someone with COVID-19 spotted?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,what is canada quarantine policy?,-,-,-,What COVID-19 stands for?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,My sister-in-law is pregnant and lives in a house with extended family where one member is isolated due to possible contact with someone with COVID-19. Are the risks for pregnant woman Higher? How can she protect?,-,-,-,"On a recent study published in ""Nature"" ,it says that the severity of symptoms of COVID-19 infection depends on how much is your Angiotensin converting enzyme 2 gene is expressed ,my question is ,on what factors does the rate of ACE2 gene expression depends? I",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,Will the virus affect my sexual ability ,-,-,-,Do the symptoms start suddenly or they progress slowly from one day to another? ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,What have you implemented to help older people who do not know how to use the internet/phone to obtain their groceries and medicine?,-,-,-,"If I catch the virus, will I be immune from getting it again?   ",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,what is this site,-,-,-,What are you symtoms of covid? ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,Are there any federal or provincial services to help senior citizens get grocery safely?,-,-,-,Is there more than one strain of COVID-19?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,How long do we need social distanciation for the virus to be less of a threat? ,-,-,-,What colour is covid 19?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,What should I do?,-,-,-,"Iâ€™ve have mild cough and not the continuous one. And symptoms of fever like burning eyes, but not the temperature. What do I do?",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,how are you,-,-,-,Infomation about covid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,Can you explain to me what is the covid19?,-,-,-,hat should I do if my 2 year old child starts having a runny nose?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,I need to take a blood test. Is there a large risk for infection?,-,-,-,Is it possible to have Covid-19 if you only have one of the symptoms?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,Will it get better in summer with higher temperatures?,-,-,-,What the size,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,Hypertension ,-,-,-,I have a lot of stress regarding COVID-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,Should I take the metro?,-,-,-,what are the symtoms,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,Is it safe to get a new job that deals with the public?,-,-,-,What's a waiting time to get covid-19 results?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,Has the virus evolved,-,-,-,When will it stop spreading? Is 2 weeks enough? ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,How do we best organize people so that duplicate work is not being done?,-,-,-,Does the amount of virus one is exposed to change the severity of the symptoms?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,How am I supposed to work while I have two young children at home?,-,-,-,what has caused it,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,How many thing you do not understand,-,-,-,What is most usual symptom of Covid-19 ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,"Do we have this epidemic, and many more to come, because we're not taking care of the earth, we're destroying more and more trees, and humans are eating more wild animals that have viruses, per a talk from Alanna Shaikh?",-,-,-,how can one fight the virus ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,waht are thenoptiin to disinfect hands and surfaces other than soap and alcohol,-,-,-,What about the researches with respect to treatment of COVID-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
