,cluster_#0,cluster_#1,cluster_#2,cluster_#3,cluster_#4,cluster_#5,cluster_#6,cluster_#7,cluster_#8,cluster_#9,cluster_#10,cluster_#11,cluster_#12,cluster_#13,cluster_#14,cluster_#15,cluster_#16,cluster_#17,cluster_#18,cluster_#19,cluster_#20,cluster_#21,cluster_#22,cluster_#23,cluster_#24,cluster_#25,cluster_#26,cluster_#27,cluster_#28,cluster_#29,cluster_#30,cluster_#31,cluster_#32,cluster_#33,cluster_#34,cluster_#35,cluster_#36,cluster_#37,cluster_#38,cluster_#39,cluster_#40,cluster_#41,cluster_#42,cluster_#43,cluster_#44,cluster_#45,cluster_#46,cluster_#47,cluster_#48,cluster_#49,cluster_#50,cluster_#51,cluster_#52,cluster_#53,cluster_#54,cluster_#55,cluster_#56,cluster_#57,cluster_#58,cluster_#59,cluster_#60
10,-,-,Why Germany has a low death rate?,what are covid symptoms,-,Can I run outside,-,-,-,-,-,What COVID-19 stands for?,Is there an estimate as to how long the crisis will last?,-,-,How long before we have a vaccine for corona? ,Can COVID-19 stay alive on fresh fruit and vegetables?,"What are differences in term of symptoms between the new coronavirus and normal flu, cod",What should i do if i am short of breath?,Can we be contagious when we don't show symptoms?,-,What are the confirmed symptoms of COVID19,-,-,Can I get the virus from breathing infected airborn particules,-,-,-,-,-,-,-,-,-,Symptom,How does it take to recover from the virus?,Is it dangerous to go for a walk?,-,Is the virus vulnerable to high temperature?! Does steam cleaning the surfaces and cloths kills the virus?,-,what is covid 19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Is it safe to get a new job that deals with the public?
11,-,-,Are there still flights within Canada?,What are the symptoms of COVID-19,-,Is it ok to go outside to get fresh air?,-,-,-,-,-,What is the meaning of COVID-19?,How long do you think we will have to be in a lockdown ,-,-,Why corona is so dangerous ,Does Quebec Health Public System have the capacity to fight this COVID-19 outbreak ?,Should I use asprin with I have the coronavirus?,I had a bronchitis last month and I'm still having trouble with my breathing a month later but I don't have a fever. Could it be corona virus?,Do the symptoms start suddenly or they progress slowly from one day to another? ,-,I have a sore throat. Is that a sign of Covid19?,-,-,-,-,-,-,-,-,-,-,-,-,what is the symptoms?,How contagious is the virus?,When can I go to my cabin?,-,Has the virus evolved,-,What is Covid 19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"If I am starting to breath heavily, should I get it checked out?"
12,-,-,Precautions to measure? ,-,-,Can I go out after recovery even if I am still in quarantine time?,-,-,-,-,-,Why is called COVID-19,How long does it take to recover?,-,-,-,How is covid transmitted?,"I was in contact with a person who had coronavirus, what should I do? ",how much fever should i tolerate before going to the doctor? ,Which are its first symptoms?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,What are the symptoms?,-,-,-,Does the  virus stay on clothing?,-,What is covid-19?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Should I be worried about getting sick if the government does not lock down everything?
13,-,-,How much longer will society need to socially isolate?,-,-,"What is the difference between a pandemic & epidemic? Why did WHO declare this a pandemic? What is the difference between social distancing, self-isolating and quarantine? To what extent is social distancing helpful? Why should I do this? When should you self-isolate? Will the virus be less effective when we get warmer weather?  When should I go to the hospital? Should I get tested if I was in contact with someone who has or is suspected of having covid19 (but do not have any symptoms)? Should I stop taking medications that suppress my immune system?  When someone in the household is coming and going (for work), how can we keep the home a safe place? Can the virus be transmitted through Air Conditioning? (from outside or from within the home) How long does the virus last on inanimate objects (plastic, glass, cardboard, metal)? What have we learned from countries like China, South Korea and Singapore that have been dealing with this for a longer period of time and have slowed the spread?",-,-,-,-,-,COVID-19 stands for what?,How long is this expected to last?,-,-,-,age wise statistics for covid-19,What is the main symptoms of the disease related to new coronavirus,"should I call to find out more, itâ€™s the coughing and difficulty breathing and fatigue that worries me",Is sore throats a symptom ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,What are the symptoms,-,-,-,"If you recover from the virus, can you still be a carrier ",-,What is COVID 19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,When will life get back to normal?
14,-,-,mental health,-,-,I was very sick with covid symptoms in late February and still coughing . Should I go get tested,-,-,-,-,-,What to do if I think I have covid 19?,-,-,-,-,How does COVID-19 affect lungs? And how do you see this pandemic will impact the world's economy?,How do I distinguish between the flu and coronavirus?,What is the likelihood of having covid if only showing one symptoms for example dry cough,"If I'm in self-quarantine with mild symptoms of some sort of respiratory thing, when can I stop self-quarantining?",-,-,-,-,-,-,-,-,-,-,-,-,-,-,What are the symptoms,-,-,-,How did this virus transmit?,-,About COVID-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,I have a headache for the past 3 days should I be tested ? 
15,-,-,When will the treatment be available for this pandemic?,-,-,"If my son if suppose to get tested tomorrow, but just starting to feel better. Can I cancel or should we still go?",-,-,-,-,-,What can we do to protect ourselves from COVID-19?,-,-,-,-,Is covid very dangerous,Is the phlegm color suggestive of coronavirus? ,-,Does the amount of virus one is exposed to change the severity of the symptoms?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,If I inhale a high concentration of soap bubbles would that kill the virus on contact in my lungs?,-,What is COVID-19?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"To get an idea of how widespread the virus is, why don't we simply test a random sample of people?"
16,-,-,Chlono,-,-,Can I still go out for grocery shopping even if I'm just getting back from vacations,-,-,-,-,-,How does covid 19 feel ,-,-,-,-,How can I differ between covid and normal flu ?,-,-,"When having covid-19, What are the next possible symptoms for a 4 years old child",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Does soap really kill the virus?,-,what is covid-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,how i can test if i have the diease?
17,-,-,Where can we find ventilator?,-,-,Is it safe to take a walk outside with my child?,-,-,-,-,-,should I worry about covid 19?,-,-,-,-,Is it safe to order food during the COVID-19 pandemic?,-,-,I am feeling itchy around my body. Is it a symptom of covid? ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,When this virus terminated?,-,What is covid-19?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Can I get Ovid 19 if someone pets my dog and then I pet her? 
18,-,-,"As of today, can we gather only 2",-,-,-,-,-,-,-,-,-,-,-,-,-,Does COVID 19 cause stomach issues,-,-,Can I move in with family if we have all been symptom free for 14 days?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Is the virus deadly?,-,What is COVID-19?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
19,-,-,what are the conditions under which people are most likely to develop complications versus those who wonâ€™t?  ,-,-,-,-,-,-,-,-,-,-,-,-,-,How effective is the new drug manufactured by Fujifilm Toyama Chemicals in treating COVID-19?,-,-,If you start showing flu symptoms should you consult a doctor or stay home?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Is the virus airborne ,-,what is covid-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,-,-,What is a vaccin becoming available?,-,-,-,-,-,-,-,-,-,-,-,-,-,What is the origin of COVID-19?,-,-,What are the top symptoms ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,how can one fight the virus ,-,Covid-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,-,-,Will the largest commercial suppliers in the country be urged to provide necessities for each household for delivery? We have Sobeyâ€™s Loblaw Amazon Walmart and Intelcom who do this today but in an unconcerted way. ,-,-,-,-,-,-,-,-,-,-,-,-,-,what is covid-2019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,What is the difference between a bacteria and a virus?,-,Whatâ€™s COVID-19?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,-,-,"In the U.S., why has the Defense Production Act not been invoked to allow weekly (?) testing of every single person present in The United States?  Yes, this is on the scale of industrialization of the WW2 era, and yes, that is *exactly* what the Defense Production Act is for.",-,-,-,-,-,-,-,-,-,-,-,-,-,How should I keep my family safe during covid-19?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,How deadly is the virus?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,-,-,What's the point of asking you questions if you don't have answers,-,-,-,-,-,-,-,-,-,-,-,-,-,Do i have a covid or is it just a cold?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,how painful will it be if I got the virus?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,-,-,why is my dick so big,-,-,-,-,-,-,-,-,-,-,-,-,-,What is covid 29,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Does eating Oranges daily help to fight this virus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,-,-,Why are death rates so different across countries?,-,-,-,-,-,-,-,-,-,-,-,-,-,My brother has COVID-19. What to do?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"If I cross someone on the street, how are the chance to catch the virus ?",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,-,-,Should I wear mask,-,-,-,-,-,-,-,-,-,-,-,-,-,Is COVID-19 air-borne?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,-,-,where can I help?,-,-,-,-,-,-,-,-,-,-,-,-,-,Can you smoke cannabis during Covid?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,-,-,How often should i take my temperature?,-,-,-,-,-,-,-,-,-,-,-,-,-,What are the covid simptons?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,-,-,What is the advice surrounding outdoor exercise/sport?,-,-,-,-,-,-,-,-,-,-,-,-,-,What do I do if someone with COVID-19 spotted?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,-,-,is the grocery open?,-,-,-,-,-,-,-,-,-,-,-,-,-,"If you contract COVID-19, how do you treat yourself at home?",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
31,-,-,Who is at risk?,-,-,-,-,-,-,-,-,-,-,-,-,-,What are you symtoms of covid? ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
32,-,-,What are the main synptoms?,-,-,-,-,-,-,-,-,-,-,-,-,-,what treatments are available for covid-19?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
33,-,-,what is canada's situation right now?,-,-,-,-,-,-,-,-,-,-,-,-,-,Is there more than one strain of COVID-19?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
34,-,-,When should I visit a doctor?,-,-,-,-,-,-,-,-,-,-,-,-,-,Would using heated-vapor humidifier help with sanitizing the sinuses of the covid-19?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,-,-,"Would it help eradicate viruses immediately if we put in place proper healthcare systems throughout every country, rich or poor, and to also have enough health professionals worldwide in place who will immediately recognize if there is a contagious virus in their city to eradicate it before it spreads?",-,-,-,-,-,-,-,-,-,-,-,-,-,What colour is covid 19?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
36,-,-,I have throat ,-,-,-,-,-,-,-,-,-,-,-,-,-,Define covid 18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,-,-,I worry for my mental health during quarantine,-,-,-,-,-,-,-,-,-,-,-,-,-,How do i knew if i got covid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
38,-,-,When will the schools reopen?,-,-,-,-,-,-,-,-,-,-,-,-,-,Infomation about covid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
39,-,-,I think Iâ€™m sick,-,-,-,-,-,-,-,-,-,-,-,-,-,When will covid end? ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
40,-,-,My  father is 80 years and food is delivered to him daily. Can food containers and food itself be contaminated by COVID,-,-,-,-,-,-,-,-,-,-,-,-,-,What places of laval has covid-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
41,-,-,When do I expect to hear back from you? ,-,-,-,-,-,-,-,-,-,-,-,-,-,I have a lot of stress regarding COVID-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
42,-,-,When will be done?,-,-,-,-,-,-,-,-,-,-,-,-,-,I have a bit of nausea and headache. Do i have covid-19?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
43,-,-,Why is Trudeau asleep?,-,-,-,-,-,-,-,-,-,-,-,-,-,What about the researches with respect to treatment of COVID-19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
44,-,-,Will the groceries shut down?,-,-,-,-,-,-,-,-,-,-,-,-,-,What are the side-effects of hydroxychloroquine for treating COVID-19?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
45,-,-,Is ACE Inhibitor harmful ,-,-,-,-,-,-,-,-,-,-,-,-,-,"Once you are cured from Covid-19, can you catch it again?",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
46,-,-,Do I need to disinfect things I buy like groceries and supplies?,-,-,-,-,-,-,-,-,-,-,-,-,-,Does covid transfer through air?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
47,-,-,Does a mask actually help if I'm not sick?,-,-,-,-,-,-,-,-,-,-,-,-,-,How dangerous is the COV-19?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
48,-,-,Will 1 meter distancing safe?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
49,-,-,Does taking high doses of vitamin C and D help fighting the disease? As an immune system booster! Is there any study on that?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
50,-,-,How to protect myself on a plane,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
51,-,-,Will there be any changes in PGWP?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
52,-,-,how to protect myself from it ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
53,-,-,what is canada quarantine policy?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
54,-,-,My sister-in-law is pregnant and lives in a house with extended family where one member is isolated due to possible contact with someone with COVID-19. Are the risks for pregnant woman Higher? How can she protect?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
55,-,-,When will the cure be available ?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
56,-,-,when will the pandemic end?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
57,-,-,what is this site,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,-,-,Is it useful to wear a mask if we are not sick?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,-,-,what is social distancing?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,-,-,When will this end,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,-,-,What should I do?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,-,-,I feel heaviness  in my chest nothing else from last 2 week ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,-,-,where did it start,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,-,-,how are you,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,-,-,Are vet clinics still open?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,-,-,What is the mortality rate?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,-,-,Hypertension ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,-,-,Could stores open a few hours a week for the elderly? ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,-,-,Should I take the metro?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,-,-,How do we best organize people so that duplicate work is not being done?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,-,-,How dangerous it is for pregnant womens?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,-,-,How am I supposed to work while I have two young children at home?,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,-,-,"Do we have this epidemic, and many more to come, because we're not taking care of the earth, we're destroying more and more trees, and humans are eating more wild animals that have viruses, per a talk from Alanna Shaikh?",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74,-,-,When this will ever end ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
