,cluster_#0,cluster_#1,cluster_#2,cluster_#3,cluster_#4,cluster_#5,cluster_#6,cluster_#7,cluster_#8,cluster_#9,cluster_#10,cluster_#11,cluster_#12,cluster_#13,cluster_#14,cluster_#15,cluster_#16,cluster_#17,cluster_#18,cluster_#19,cluster_#20,cluster_#21,cluster_#22,cluster_#23,cluster_#24,cluster_#25,cluster_#26,cluster_#27,cluster_#28,cluster_#29,cluster_#30,cluster_#31,cluster_#32,cluster_#33,cluster_#34,cluster_#35,cluster_#36,cluster_#37,cluster_#38,cluster_#39,cluster_#40,cluster_#41,cluster_#42,cluster_#43,cluster_#44,cluster_#45,cluster_#46,cluster_#47,cluster_#48,cluster_#49,cluster_#50,cluster_#51,cluster_#52,cluster_#53,cluster_#54,cluster_#55,cluster_#56,cluster_#57,cluster_#58,cluster_#59,cluster_#60,cluster_#61,cluster_#62,cluster_#63,cluster_#64,cluster_#65,cluster_#66,cluster_#67,cluster_#68,cluster_#69,cluster_#70,cluster_#71,cluster_#72,cluster_#73,cluster_#74,cluster_#75,cluster_#76,cluster_#77,cluster_#78,cluster_#79,cluster_#80,cluster_#81,cluster_#82,cluster_#83,cluster_#84,cluster_#85,cluster_#86,cluster_#87,cluster_#88,cluster_#89,cluster_#90,cluster_#91,cluster_#92,cluster_#93,cluster_#94,cluster_#95,cluster_#96,cluster_#97,cluster_#98,cluster_#99,cluster_#100,cluster_#101,cluster_#102,cluster_#103,cluster_#104,cluster_#105,cluster_#106,cluster_#107,cluster_#108,cluster_#109,cluster_#110,cluster_#111,cluster_#112,cluster_#113,cluster_#114,cluster_#115,cluster_#116,cluster_#117,cluster_#118,cluster_#119,cluster_#120,cluster_#121,cluster_#122,cluster_#123,cluster_#124,cluster_#125,cluster_#126,cluster_#127,cluster_#128,cluster_#129,cluster_#130,cluster_#131,cluster_#132,cluster_#133,cluster_#134
Count,9,4,5,46,4,5,16,5,4,6,8,4,5,7,5,4,6,8,5,6,4,5,7,5,4,7,5,4,4,10,5,5,11,5,6,11,4,5,5,4,3,4,4,4,4,8,5,3,4,3,3,7,4,4,4,5,7,5,3,3,4,3,5,3,3,6,5,4,6,4,3,11,4,3,8,4,3,5,8,3,2,3,12,22,2,5,2,3,5,4,4,3,3,7,3,3,2,3,3,15,2,3,2,6,3,4,4,4,3,4,2,2,2,5,5,7,3,2,2,7,2,5,4,2,2,4,3,6,2,2,3,2,3,2,3
0,Does covid-19 test anonymous?,Will it get better in summer with higher temperatures?,How do we best organize people so that duplicate work is not being done?,What are the synthoms?,Can COVID-19 stay alive on fresh fruit and vegetables?,Will Covid19 go away like the 1918 influenza and SARS did,if my tempreture is over 39 can i assume that i have covid-19 ?,"If Iâ€™m sneezing, should I get tested for corona virus?",Where can we find ventilator?,How to avoid exposure?,Am I infected,Is headache a symptom of this pandemic? ,when covid 19 is going to stop?,What have you implemented to help older people who do not know how to use the internet/phone to obtain their groceries and medicine?,Should I take the metro?,Is the Asymptomatic Carrier a temporary status? ,Do we see a future where this virus won't be such a threat anymore? ,Is it safe for seniors to go out for a walk or inside shopping malls which are quite isolated these days?,what is self monitoring?,Will the heat of the summer help fighting the virus?,Am I allowed to go for a walk?,How long am I infectious for,Is there a vaccine for corona virus?,Will social distancing slow the spread of covid-19?,How do I treat coronavirus?,How do people get infected with Coronavirus?,How often should i take my temperature?,How many patients are across the globe? ,how long would it take for the virus to disappear ? ,what is the death rate of the new corona virus,what are cov19 symptoms,Are there still flights within Canada?,What's covid19?,How long are you contagious if you have Coronavirus?,when is this pandemic going to end?,How do I know if I haver coronavirus?, When should I consult after the vomitting symptoms for a 4 y-o child? ,How can I differ between covid and normal flu ?,How does COVID-19 kill its victims?,Is staying at home mandatory?,How much it's prevelent in Pakistan?,What is the impact that covid-19 has in the economy?,Are we going to have trouble buying milk? ,What is the incubation time of the virus?,What kind of medication can I take if I have the virus ?,Symptoms of corona,Are research fundings going to be cut as a result of the virus?,how is going,Is there more than one strain of COVID-19?,Can you catch covid 19 after having had it before ,"I'm hot, what do I do?",How many cases in Quebec? ,How severe is the virus? ,What are the main synptoms?,Precautions to measure? ,Is covid very dangerous,My sister-in-law is pregnant and lives in a house with extended family where one member is isolated due to possible contact with someone with COVID-19. Are the risks for pregnant woman Higher? How can she protect?,I have throat ,What's a waiting time to get covid-19 results?,What should I do if I start feeling sick with similar symptoms as in covid19?,Does Quebec Health Public System have the capacity to fight this COVID-19 outbreak ?,is the grocery open?,I have fever what I should do,What's the point of asking you questions if you don't have answers,I am 43. Whatâ€™s the chance of my survival if I get covid. ,Why Germany has a low death rate?,Why are death rates so different across countries?,How long does it take to recover?,Who is at risk?,When should I go to the hospital?,When do I expect to hear back from you? ,How many people have dies,How do I know if my chest is hurt because lung damage or another cause?,How deadly is the virus?,Does the virus spread by rain?,When will the cure be available ?,What is the estimated population that will be infected by the covid-19 virus?,Where can I get tested?,I think I have a fever. What do I do?,How's the shortness of breath?,South korea,How many confirmed cases in Ontario now?,what are the symptoms of COVID-19?,what is covid-19,Can I get the virus from a stray cat?,What is coronavirus ?,What is the mortality rate?,How long does the virus live on clothes?,How long before symptoms start to show? ,Can this virus infect me in an airborne fashion?,Do the virus stay in air?,how can I prevent to get infected?,Do you think Taiwan is good?,is coughing phlem a symptom?,what is canada quarantine policy?,How is covid transmitted?,mental health,What mesures needs to take a pregnant women to reduce the risk?,Can I go for a run? Does running/exercise compromise my immune system? ,what are the symptoms,How many COVID-19 related deaths have there been in Montreal?,where did it start,How do i knew if i got covid,How long does it last? ,Should I go to the ER or my physician directly if I'm infected?,How can I make the difference between a cold and covid19?,what are the risks for someone aged 65?,I have cough. Does that mean I might be infected?,What is Covid-19 virus?),Should I wear mask,How many cases of covid in laval,What are the symptoms of vivid 19?,How long does it takes to get first symptom of Covid-19 ,What are the best food to get good immune ,When will the treatment be available for this pandemic?,Is the virus infectious during incubation period?,who is at risk of dying after contracting the virus?,WHat is your name,Is it true that warm kills Coronavirus?,What is the covid?,What is the half-life of coronavirus?,What is the current situation of COVID-19 infections?,What is the number of Covid19 cases in the wold,Which country infected ? ,What are you symtoms of covid? ,How many cases in Montreal?,how many people positive result with COVID-19,How to protect my family from COVID-19?,How many days should I isolate for,What COVID-19 stands for?,When should I visit a doctor?,From the infected worldwide population what is the ratio that will need medical attention (eg. ICU or ventilators)?,Does a throat feel itchy or really sore and a symptom ,When will it be ok to go outside?,Can the Covid survive in the air?
1,Where are the testing centers located in Mtl?,Could stores open a few hours a week for the elderly? ,How am I supposed to work while I have two young children at home?,covid19 symptons?,Do I need to wash my vegetables and fruits?,what are the conditions under which people are most likely to develop complications versus those who wonâ€™t?  ,What are the most common symptoms of COVID-19?,"If there are kids around me, do I have to worry if they are infected and I do not know?",Why is it called Corona virus?,Should I star home and even avoid going to the supermarket and drugstore?,What do I do if I suspect I'm infected?,what is pandemic,"As of today, can we gather only 2",waht are thenoptiin to disinfect hands and surfaces other than soap and alcohol,"Do we have this epidemic, and many more to come, because we're not taking care of the earth, we're destroying more and more trees, and humans are eating more wild animals that have viruses, per a talk from Alanna Shaikh?",If I fully recover from COVID-19 would I still be considered a carrier and transmit the virus?,How much longer will society need to socially isolate?,Will 1 meter distancing safe?,What is self-isolation?,Can drinking alcohol helps COVID19? ,Is it safe to go outside for a walk (social distancing from others)?,How long can the covid-19 survive outside the body,What is a vaccin becoming available?,what is social distancing?,Can anti-viral drugs be used to treat the coronavirus?,How many people are infected in Lithuania?,Does temperature has any effect on the virus,List of Canadian hospitals treating (not testing) patients with COVID-19?,Is it possible to be infected again?,I have cold for couple of weeks. Have cough over night and regular mucous during day and night. Feel a bit hot but not fever that can be feel. Sometimes ear pain for infection. Some times get stressed on having corona. Does any of these symptoms suggest that? I have quarantined myself for over 10 days  ,Whatbare the symptoms,Are vet clinics still open?,What is Covid19,I'd love to know how long I can be contagious?,when will the pandemic end?,may I know what is corona?,how old are you?,How do I know if I have the flu or coronavirus,Will high temperature kill coronavirus?,"If I have symptoms and I am told to stay home, can I take Tylenol?",how much fever should i tolerate before going to the doctor? ,Impact of covid,"How can I make sure, I am buying from grocery is safe from COVID-19 ",What is the incubation time of covid-19 by age,how much does corona virus stay on each kind of surfaces?,What are the symptoms of Corona?,How does COVID-19 affect lungs? And how do you see this pandemic will impact the world's economy?,Where should I go?,Is it possible to have Covid-19 if you only have one of the symptoms?,"If I catch the virus, will I be immune from getting it again?   ",What's happen for country near the Ecuador with a lot of hot? ,how many cases are there in Washington state,Will there be any changes in PGWP?,what are the main symptoms,How many thing you do not understand,is covid-19 dangerous,Do I need to stay away from my family members if we're all social distancing together in the house?,"I am having sore throat, cold, cough, temperature is not stable continuously increases and decreases. So Do I need to go for a test?","My COVID-19 test results are pending, and my temperature reached 40C. What should I do?",How long will I be sick if I get the virus,Is it safe to get a new job that deals with the public?,Will the groceries shut down?,"Must the fever-symptom related to COVID-19 be a continuous fever, or is it possible that the fever is short-lived?",Do I have to ask a sclerotic question about traveling or something to get an answer ,Is it true that COVID-19 can survive up to a few days on hard surfaces?,how many deaths are in Italy as of March 21,Is there a different varient of virus which is spreading across the world,How long does it take an average person to recover?,Who is most at risk? ,should I go to the hospital?,What do I have to expect after the disease?,how many people died?,Does COVID 19 cause stomach issues,Is the virus deadly?,How does it spread ?,In how many days can covid be cured? ,"In this time of crisis, is it okay to feed the raccoons",Where do we get the test for COVID-19?,"I think I have coronavirus, should I go to the emergency",I have shortness of breath but no fever,How many infected person in south korea?,What is the current COVID-19 confirmed cases trend for Canada?,Symptoms of Covid ,What is Covid-19?,Can my cat get the virus?,How does coronavirus propagate?,Mortality rate today,How long can the virus live?,How many days can you be contagious without showing symptoms?,Is Covid19 an airborne? ,How long does the virus stay in paper money and coins?,how to prevent ?,good morning,I cough. is it Covid-19?,How fast will the pandemic spread in Canada?,How did this virus transmit?,I worry for my mental health during quarantine,How dangerous it is for pregnant womens?,Option to run the questions for children ,What are the symptoms,how many people related covid-19,How Covid-19 started?,how painful will it be if I got the virus?,How long does it last once infected ?,if i have symptoms should i go to the ER or should I call a doctor?,"My head hurts, my body aches a little and I feel a cold coming. How do I know if this is Covid-19 or just an ordinary cold?","if someone had pneumonia before, are they more at risk?",Will herd immunity be the only means of eradicating COVID-19?,How covid-19 virus infected?,Is it useful to wear a mask if we are not sick?,What places of laval has covid-19,Is fever the main symptom for vivid-19,Which are its first symptoms?,My  father is 80 years and food is delivered to him daily. Can food containers and food itself be contaminated by COVID,How long is the treatment?,What is the incubation period for COVID-19?,"If you contract COVID-19, how do you treat yourself at home?",What is your name,Is it true that warm kills Coronavirus?,What is covid,When will life get back to normal?,what is canada's situation right now?,What was the total number of deaths before and after the virus?,Which country infected ? ,what are the symtoms,How many cases in Montreal,how many case positive with COVID-19 ?,How to protect myself on a plane,How many days does it take to see the symptoms,COVID-19 stands for what?,When should I contact a doctor?,From the infected worldwide population what will be the ratio of asymptomatic people,Is itchy throat sign of covid 19,Is it ok to go outside to get fresh air?,Is COVID-19 air-borne?
2,which hospital takes the test for covid 19?,is the liquor store open?,When will we be back to work?,What is it,Does washing clothes in the  washing machine prevent transmission ? ,I would like clarifications about the fact that test results don't work if you don't have symptoms. That does not seem like a commonality we usually see with tests like this.,What are the early symptoms of COVID-19,Should I be worried about getting sick if the government does not lock down everything?,Why is called COVID-19,Will NHS workers be even more isolated because they are exposed to the virus on a daily basis?,Can you get be infected more than once? ,I have a headache for the past 3 days should I be tested ? ,Will the largest commercial suppliers in the country be urged to provide necessities for each household for delivery? We have Sobeyâ€™s Loblaw Amazon Walmart and Intelcom who do this today but in an unconcerted way. ,Doeas the software is automatic in English because I use an English device? If I ask in French the answer will be in French?,Where did COVID-19 come from?,"If you recover from the virus, can you still be a carrier ",How long do we need social distanciation for the virus to be less of a threat? ,Are there any federal or provincial services to help senior citizens get grocery safely?,what is self isolation?,where can I help?,Is it dangerous to go for a walk?,How long does the virus remain active and alive after attacking a human body?,How long will it take to develop a vaccine ? ,How long will social distancing measures last?,How effective is the new drug manufactured by Fujifilm Toyama Chemicals in treating COVID-19?,how to interact with people,Does taking high doses of vitamin C and D help fighting the disease? As an immune system booster! Is there any study on that?,What's the current count in India,It would possible to predict the time of this pandemic?,Whats corona,Where do I go if I have mild symptoms?,"If I experience symptoms but they are manageable, should I still go to the hospital for testing?",What are the symptoms of the covid19?,Can I be contagious even if I don't have symptoms? ,When will this end,what do you know about COVID-19?,hat should I do if my 2 year old child starts having a runny nose?,How to differentiate between coronavirus and simple flu?,Is the virus vulnerable to high temperature?! Does steam cleaning the surfaces and cloths kills the virus?,Shall we stay where we are or travel to our home country?,How much the quarantine process has a positive impact on reducing contamination spread?,What will be th impact on international students?,Do I need to disinfect things I buy like groceries and supplies?,age wise statistics for covid-19,what kind of protective gear do i need to wear?,What are the symptoms of corona virus,Will the virus affect my sexual ability ,When can I go to my cabin?,how can one fight the virus ,"If I cross someone on the street, how are the chance to catch the virus ?",When will the municipalities post heat maps to identify hot spots for Covid positive residents?,How many cases in Quebec ,"On a recent study published in ""Nature"" ,it says that the severity of symptoms of COVID-19 infection depends on how much is your Angiotensin converting enzyme 2 gene is expressed ,my question is ,on what factors does the rate of ACE2 gene expression depends? I",what are the main symptoms of coronavirus,What precautions should I take with things delivered at home?,Why corona is so dangerous ,I am in self isolation.   Is it ok to let in family members who must continue to go to work?,I have a sore throat. What do I do?,How long after testing do you receive your COVID-19 results? ,What should I buy from the stores now that I feel sick?,Isn't the economy impact (and the panic reaction) going to kill more than the virus? It seems the virus only kills 1%... while over 30% of the population might lose their jobs.,What should I use to disinfect grocery bags and grocery items? ,is fever a symptom of coronavirus? ,Why didn't you answer my first question?,How long does the virus survive on a surface like a doorknob?,How many death in Quebec?,What's the difference between COVID-19 and CoronaVirus?,How long does it take to recover?,What is the risk for an asthmatic ?,What is the nearest hospital to go to if I have a COVID-19?,How long is this expected to last?,What is the probability of dying?,Do the symptoms start suddenly or they progress slowly from one day to another? ,How deadly is the virus?,how is covid 19 spread?,How can i cure covid-19?,Is there an estimate as to how long the crisis will last?,Were can I get tested? ,I think Iâ€™m sick,What should i do if i am short of breath?,-,What are the confirmed symptoms of COVID19,What are the symptoms of Covid-19?,What is the COVID-19?,-,what are the symptoms of coronavirus,-,How long does COVID-19 live on glass surfaces?,How long until an infected person shows symptoms?,Is the virus airborne ,Does the  virus stay on clothing?,How to prevent the spread of COVID-19?,I heard hydroxychloroquine is a good treatment for COVID-19. Where can I get it?,What if I have cough ?,How long has the virus been spreading in Canada?,How is it transmitted?,-,What is the risk for a pregnant women?,Is it safe to jog/run outside?,what are the symptoms,-,What should I do if I start coughing?,-,How long will it last?,When should I go to the ER?,Do i have a covid or is it just a cold?,What do I do if someone with COVID-19 spotted?,Does COVID-19 spread by means of gametes?,How COVID-19 is infecting?,Do I have to wear a mask all the time if I am not infected?,-,-,-,Is it safe to order food during the COVID-19 pandemic?,treatment for covid 19,Whatâ€™s the incubation period? ,Can you die from contracting covid?,-,-,What is covid?,-,How about covid situations? ,Number of cases in Inida,-,-,How many case in montreal,how many people positive with Covid-19 in the world?,how to protect myself from it ,-,-,Do I need to be seen by a doctor,-,I am feeling itchy around my body. Is it a symptom of covid? ,-,Does covid transfer through air?
