,question,ahc_label
0,Are you sick?,0
171,what is this rainbow thing that people are talking about,0
341,where did it start,0
173,Can I move in with family if we have all been symptom free for 14 days?,0
174,is it dangerous to travel,0
175,If I have diabetes am I at a higher risk? ,0
176,I am feeling itchy around my body. Is it a symptom of covid? ,0
177,Does Wearing gloves help?,0
178,"When having covid-19, What are the next possible symptoms for a 4 years old child",0
340,Is headache a symptom of this pandemic? ,0
337,Precautions to measure? ,0
181,What should you do if you dont have water and soap and sanitizer?,0
336,how are you,0
183,Hypertension ,0
170,could we have done better?,0
184,when will germany reach the peak?,0
186,Is sore throats a symptom ,0
187,When will the municipalities post heat maps to identify hot spots for Covid positive residents?,0
334,Are there still flights within Canada?,0
190,Which are its first symptoms?,0
192,hat should I do if my 2 year old child starts having a runny nose?,0
194,Is there any medication to take to help?,0
328,Why Germany has a low death rate?,0
196,What is an Asymptomatic Carrier?,0
197,What do I have to expect after the disease?,0
198,My son is flying from Kansas to England on the 30th April. He is flying into Heathrow and then travelling home to Manchester by train,0
327,what are the syptoms?,0
326,Non,0
325,what is this site,0
185,Is it transmissible through anal sex ?,0
169,What is the death rate in South Carolina?,0
168,Is it safe to take a walk outside with my child?,0
167,What is the likelihood of having covid if only showing one symptoms for example dry cough,0
133,is it made by human or by nature,0
363,How much longer will society need to socially isolate?,0
136,When is the vaccine available ?,0
137,What should I buy from the stores now that I feel sick?,0
275,Why are death rates so different across countries?,0
140,What is the total number of deaths ,0
141,What's the capital of Palestine?,0
358,How to avoid exposure?,0
357,Are vet clinics still open?,0
144,Is ordering food from a restaurant discouraged?,0
356,What is it,0
355,Is the Asymptomatic Carrier a temporary status? ,0
354,Do you think Taiwan is good?,0
149,Impacts of it,0
150,What is most usual symptom of Covid-19 ,0
151,My employer is not implementing social distancing or safety measures in my workplace. What recourse do I have?,0
152,Should I visit my parents in a seniors home?,0
153,Can you see friends if you stick to the social distancing guidelines?,0
352,What is the mortality rate?,0
155,What are the top symptoms ,0
157,If you start showing flu symptoms should you consult a doctor or stay home?,0
349,What mesures needs to take a pregnant women to reduce the risk?,0
159,How can I protect myself ,0
160,Should I stay home?,0
348,What are the synthoms?,0
345,What is,0
163,How to stay safe,0
165,Is it safe to jog/run outside?,0
342,Does a throat feel itchy or really sore and a symptom ,0
202,Why didn't you answer my first question?,0
131,"If I was traveling abroad recently, what should I do when coming back home?",0
203,What's the current count in India,0
205,What is the situation right now in the world?,0
300,My  father is 80 years and food is delivered to him daily. Can food containers and food itself be contaminated by COVID,0
244,Should I use Sudafed?,0
245, When should I consult after the vomitting symptoms for a 4 y-o child? ,0
299,When do I expect to hear back from you? ,0
298,When will the schools reopen?,0
248,What is the advice surrounding outdoor exercise/sport?,0
297,Do I need a mask?,0
250,how to protect myself from it ,0
251,what are cov19 symptoms,0
252,is the grocery open?,0
253,Who is at risk?,0
293,I worry for my mental health during quarantine,0
256,What are the symptoms of SARS-COV-2,0
241,Suffering from trout echiting,0
257,Will there be any changes in PGWP?,0
290,When will be done?,0
286,Does taking high doses of vitamin C and D help fighting the disease? As an immune system booster! Is there any study on that?,0
263,what is canada quarantine policy?,0
264,How often should i take my temperature?,0
265,where can I help?,0
266,My sister-in-law is pregnant and lives in a house with extended family where one member is isolated due to possible contact with someone with COVID-19. Are the risks for pregnant woman Higher? How can she protect?,0
267,"In the U.S., why has the Defense Production Act not been invoked to allow weekly (?) testing of every single person present in The United States?  Yes, this is on the scale of industrialization of the WW2 era, and yes, that is *exactly* what the Defense Production Act is for.",0
285,How to protect myself on a plane,0
282,What are the most common symptoms of COVID-19?,0
271,I think Iâ€™m sick,0
272,What's the point of asking you questions if you don't have answers,0
273,why is my dick so big,0
280,Should I wear mask,0
292,I have throat ,0
302,what are the main symptoms,0
239,i have some headeche,0
238,It would possible to predict the time of this pandemic?,0
206,"Why does the government think that we don't need to wear face masks when clearly citizens from countries that are able to contain the virus are all wearing face masks, regardless if they are sick or not",0
320,When should I visit a doctor?,0
208,Shall we stay where we are or travel to our home country?,0
319,Is ACE Inhibitor harmful ,0
317,Do I need to disinfect things I buy like groceries and supplies?,0
314,what is canada's situation right now?,0
213,Is it possible to have Covid-19 if you only have one of the symptoms?,0
214,Should I be moving house during a pandemic?,0
215,Have there been any deceased children so far?,0
216,From the infected worldwide population what is the ratio that will need medical attention (eg. ICU or ventilators)?,0
217,what has caused it,0
218,Does the amount of virus one is exposed to change the severity of the symptoms?,0
219,Can I still see my friends?,0
221,"If this is really deep learning, how deep is your modelðŸ˜‚",0
312,What are the main synptoms?,0
223,Sorry I het enter before I was done.. am I just being paranoid and giving myself an ulcer.. my husband has pulmonary fibrosis so Iâ€™m really worried about him ,0
311,Does a mask actually help if I'm not sick?,0
225,How are you ,0
310,What are the early symptoms of COVID-19,0
227,Does washing clothes in the  washing machine prevent transmission ? ,0
228,Mortality rate today,0
308,good morning,0
230,is the liquor store open?,0
232,what are the symtoms,0
233,What can you do?,0
234,"If I'm in self-quarantine with mild symptoms of some sort of respiratory thing, when can I stop self-quarantining?",0
304,Will the groceries shut down?,0
303,Why is Trudeau asleep?,0
237,What the size,0
321,"Would it help eradicate viruses immediately if we put in place proper healthcare systems throughout every country, rich or poor, and to also have enough health professionals worldwide in place who will immediately recognize if there is a contagious virus in their city to eradicate it before it spreads?",0
368,"As of today, can we gather only 2",0
362,South korea,0
64,Who is most at risk? ,0
50,WHat is your name,0
51,Doeas the software is automatic in English because I use an English device? If I ask in French the answer will be in French?,0
54,Do I need to wash my vegetables and fruits?,0
56,"In this time of crisis, is it okay to feed the raccoons",0
57,I recently relocated to Quebec. Can I request RAMQ card with visiting the RAMQ office?,0
59,how to prevent ?,0
62,what are the risks for someone aged 65?,0
370,what are the conditions under which people are most likely to develop complications versus those who wonâ€™t?  ,0
66,what kind of protective gear do i need to wear?,0
67,waht are thenoptiin to disinfect hands and surfaces other than soap and alcohol,0
68,When this will ever end ,0
69,"Do we have this epidemic, and many more to come, because we're not taking care of the earth, we're destroying more and more trees, and humans are eating more wild animals that have viruses, per a talk from Alanna Shaikh?",0
71,How am I supposed to work while I have two young children at home?,0
72,How dangerous it is for pregnant womens?,0
73,How do we best organize people so that duplicate work is not being done?,0
74,Is it safe to handle delivered packages?,0
76,Does my neighbour have covid-19 symptoms?,0
77,Can I be contagious even if I don't have symptoms? ,0
82,Should I take the metro?,0
48,How are you?,0
83,What are the real symptoms of covid-19 ,0
44,What's happen for country near the Ecuador with a lot of hot? ,0
39,"im sneezing, should i be worried?",0
2,"Would it help to ensure there is a warehouse already filled with protective gear for health professionals worldwide, instead of scrambling, or ordering these last minute, and also have enough hospitals built, because if we don't do that, we'll have to do what China did and build a hospital at the last minute?",0
3,Are there any risk for the foetus? ,0
5,Can I run outside,0
6,Will people on LTD (Long Term Disability) drill receive their payments?,0
9,"If I have symptoms and I am told to stay home, can I take Tylenol?",0
10,Will the pandemic affect university research?,0
14,what is the risk for a pregnent woman ?,0
16,"if someone had pneumonia before, are they more at risk?",0
21,How much it's prevelent in Pakistan?,0
22,What should I use to disinfect grocery bags and grocery items? ,0
26,what is self monitoring?,0
28,Can we be contagious when we don't show symptoms?,0
29,When will we be back to work?,0
30,What is self-isolation?,0
33,What is your name,0
34,Can I fo,0
36,Do I need to be seen by a doctor,0
37,what is self isolation?,0
38,Do the symptoms start suddenly or they progress slowly from one day to another? ,0
40,"On a recent study published in ""Nature"" ,it says that the severity of symptoms of COVID-19 infection depends on how much is your Angiotensin converting enzyme 2 gene is expressed ,my question is ,on what factors does the rate of ACE2 gene expression depends? I",0
88,Could stores open a few hours a week for the elderly? ,0
279,When will the cure be available ?,0
392,When will the treatment be available for this pandemic?,0
122,What will be th impact on international students?,0
102,Is it safe to give blood?,0
378,"If I'm below the age of 30, will I notice symptoms if I'm sick?",0
121,what is my level of risk?,0
384,Whatbare the symptoms,0
105,Is staying at home mandatory?,0
382,Where can we find ventilator?,0
120,Option to run the questions for children ,0
100,I have a sore throat. What do I do?,0
119,Should I not touch my mail?,0
108,When should I contact a doctor?,0
380,what is social distancing?,0
116,how old are you?,0
376,When will this end,0
110,What are effective immunity boosters?,0
393,Chlono,0
111,I have Hashimoto's hypothyroiditis. Am I more at risk? I also had a PE due to Fv-leiden and oral contraceptives in 2001...what do you recommend I do?,0
112,"Hello, I am social distancing and taking precautions, however I have to share a communal sink. I try to stay as safe as possible by cleaning it, but I have touched the knobs with my bare hands without thinking, can germs spread this way? Should I avoid the sink in general? Thank you! ",0
381,Is it useful to wear a mask if we are not sick?,0
99,What is the risk for a pregnant women?,0
113,Do I need to stay away from my family members if we're all social distancing together in the house?,0
388,What are the symptoms of vivid 19?,0
124,I have asthma. How at risk am I about the possibility of complications?,0
391,What should I do?,0
390,I feel heaviness  in my chest nothing else from last 2 week ,0
92,who needs to be isolated?,0
91,What precautions should I take with things delivered at home?,0
372,What is a vaccin becoming available?,0
126,What is the situation now in my country?,0
389,mental health,0
373,Will the largest commercial suppliers in the country be urged to provide necessities for each household for delivery? We have Sobeyâ€™s Loblaw Amazon Walmart and Intelcom who do this today but in an unconcerted way. ,0
127,How is it transmitted?,0
96,"I'm hot, what do I do?",0
97,What is the risk for an asthmatic ?,0
447,How can I make the difference between a cold and covid19?,1
467,What is the number of Covid19 cases in the wold,1
449,"What are the daily death rates in Italy, that are Not from COVID19?",1
466,What are the Symptom for covid19,1
450,What are the symptoms of the covid19?,1
468,I have a sore throat. Is that a sign of Covid19?,1
448,covid19 symptons?,1
451,What is Covid19,1
452,Is Covid19 an airborne? ,1
453,Covid19,1
464,Who can I make the difference between a cold and covid19?,1
454,What's covid19?,1
455,What are the confirmed symptoms of COVID19,1
463,Can drinking alcohol helps COVID19? ,1
462,What are the symptoms of covid19,1
457,What should I do if I start feeling sick with similar symptoms as in covid19?,1
458,Can you explain to me what is the covid19?,1
460,What's covid19? ,1
461,What are the symptoms of covid19?,1
465,What is covid19?,1
459,What's covid19,1
258,is coughing phlem a symptom?,2
446,What to do when i gave cough,2
434,What should i do if i am short of breath?,2
433,What should I do if I have fever?,2
431,What should I do if I start coughing?,2
430,I have shortness of breath but no fever,2
429,"Must the fever-symptom related to COVID-19 be a continuous fever, or is it possible that the fever is short-lived?",2
435,I have cold for couple of weeks. Have cough over night and regular mucous during day and night. Feel a bit hot but not fever that can be feel. Sometimes ear pain for infection. Some times get stressed on having corona. Does any of these symptoms suggest that? I have quarantined myself for over 10 days  ,2
428,Is fever the main symptom for vivid-19,2
436,I had a bronchitis last month and I'm still having trouble with my breathing a month later but I don't have a fever. Could it be corona virus?,2
437,I am coughing but I don't have fever. Could I have covid-19?,2
438,"I have a fever, what should I do now?",2
432,"Iâ€™ve have mild cough and not the continuous one. And symptoms of fever like burning eyes, but not the temperature. What do I do?",2
439,I think I have a fever. What do I do?,2
427,I'm feeling dizzy with fever do I have corona? ,2
440,How's the shortness of breath?,2
441,"should I call to find out more, itâ€™s the coughing and difficulty breathing and fatigue that worries me",2
426,I have fever what I should do,2
425,how much fever should i tolerate before going to the doctor? ,2
442,I have fever 38Â°C. Is that corona virus symptoms?,2
424,What if I have cough ?,2
443,Is a cough but no fever a symptom?,2
444,"i am coughing, what should i do?",2
445,Does the fever persists in corona ,2
365,"If Iâ€™m sneezing, should I get tested for corona virus?",3
366,Where is the closest testing facility to me?,3
333,Do the virus stay in air?,3
281,Will the virus affect my sexual ability ,3
288,Does temperature has any effect on the virus,3
306,I would like clarifications about the fact that test results don't work if you don't have symptoms. That does not seem like a commonality we usually see with tests like this.,3
331,Does covid-19 test anonymous?,3
344,Will the heat of the summer help fighting the virus?,3
386,which hospital takes the test for covid 19?,3
353,How long does the virus live on clothes?,3
294,How severe is the virus? ,3
385,Where are the testing centers located in Mtl?,3
359,I need to take a blood test. Is there a large risk for infection?,3
318,I heard hydroxychloroquine is a good treatment for COVID-19. Where can I get it?,3
350,Will it get better in summer with higher temperatures?,3
301,Is it true that you can get the virus again even after you've recovered ,3
374,Can I get the virus from a stray cat?,3
375,Are there any federal or provincial services to help senior citizens get grocery safely?,3
313,"How long could the virus stay alive on doorknobs, traffic signal buttons, stair rails?",3
332,What kind of medication can I take if I have the virus ?,3
371,How long do we need social distanciation for the virus to be less of a threat? ,3
343,Do we see a future where this virus won't be such a threat anymore? ,3
94,Should I be worried about getting sick if the government does not lock down everything?,3
132,How does it take to recover from the virus?,3
134,What is the difference between a bacteria and a virus?,3
35,If I inhale a high concentration of soap bubbles would that kill the virus on contact in my lungs?,3
229,What's a waiting time to get covid-19 results?,3
27,How long does the virus survive on a surface like a doorknob?,3
24,How long will I be sick if I get the virus,3
17,"If you recover from the virus, can you still be a carrier ",3
222,Is the virus airborne ,3
13,How long can the virus stay in the air,3
146,How many will lose their jobs due to the chinese virus?,3
11,When will life get back to normal?,3
148,how can one fight the virus ,3
8,Can you get the virus twice ? ,3
158,Does eating Oranges daily help to fight this virus,3
161,how painful will it be if I got the virus?,3
164,Can I get Ovid 19 if someone pets my dog and then I pet her? ,3
199,Does soap really kill the virus?,3
172,How contagious is the virus?,3
179,how i can test if i have the diease?,3
193,I have a headache for the past 3 days should I be tested ? ,3
95,how long would it take for the virus to disappear ? ,3
236,Is the virus deadly?,3
43,List of Canadian hospitals treating (not testing) patients with COVID-19?,3
32,"If I catch the virus, will I be immune from getting it again?   ",3
243,When this virus terminated?,3
276,I am 43. Whatâ€™s the chance of my survival if I get covid. ,3
98,Can my cat get the virus?,3
90,How long can the virus live?,3
269,How deadly is the virus?,3
86,How long does the virus stay in paper money and coins?,3
84,If I fully recover from COVID-19 would I still be considered a carrier and transmit the virus?,3
268,Is the test covered in in CIHIP?,3
106,How long does the virus remain active and alive after attacking a human body?,3
130,"To get an idea of how widespread the virus is, why don't we simply test a random sample of people?",3
81,Is the virus vulnerable to high temperature?! Does steam cleaning the surfaces and cloths kills the virus?,3
109,What was the total number of deaths before and after the virus?,3
182,What are covid-19 test centres location in Montreal?,3
114,Does the  virus stay on clothing?,3
75,Has the virus evolved,3
47,How did this virus transmit?,3
259,What are the best food to get good immune ,3
