,question,ahc_label
255,Do I have to ask a sclerotic question about traveling or something to get an answer ,3
63,"If I am starting to breath heavily, should I get it checked out?",3
247,"If I cross someone on the street, how are the chance to catch the virus ?",3
125,"My COVID-19 test results are pending, and my temperature reached 40C. What should I do?",3
80,Is it safe to get a new job that deals with the public?,3
128,How deadly is the virus?,3
249,Will NHS workers be even more isolated because they are exposed to the virus on a daily basis?,3
477,how much does corona virus stay on each kind of surfaces?,4
476,How many Canadians currently have corona virus?,4
474,Symptoms of corona,4
475,Is there a vaccine for corona virus?,4
473,What is corona,4
472,can you please tell me symptoms of corona virus?,4
471,Is there a treatment for corona virus?,4
469,is there a new form of corona virus?,4
478,What is corona virus?,4
470,Why corona is so dangerous ,4
482,Why is it called Corona virus?,4
481,Corona virus characteristics,4
479,What are the symptoms of corona virus,4
495,Is there a vaccine for corona virus?,4
494,What is corona virus and COVID19,4
493,Whats corona,4
492,what is the death rate of the new corona virus,4
491,what should I do if I think I infected by corona virus?,4
490,How long before we have a vaccine for corona? ,4
480,What is corona,4
488,What are the symptoms of Corona?,4
483,What are the symptoms of corona virus,4
484,What are the symptoms I should feel if I am infected with Corona virus?,4
489,What the different between corona and COVID_19?,4
486,"Hello, what happens after corona?",4
487,How is the corona virus being spread,4
485,What shall I do if I have to go out to buy things to protect myself from corona virus?,4
510,How many thing you do not understand,5
511,How many cases in Montreal?,5
512,How many days should I isolate for,5
513,How many cases in Montreal ,5
514,In how many days can covid be cured? ,5
515,How many cases in Quebec ,5
516,how many death now,5
509,How many confirmed cases in Ontario now?,5
519,How many cases of covid in laval,5
520,how many cases are there in Washington state,5
521,How many cases in Canada now ? ,5
522,How many death in Quebec?,5
517,How many cases are in spain ?,5
518,Number of cases in Inida,5
508,How many patients are across the globe? ,5
504,How many days can you be contagious without showing symptoms?,5
506,What is the current COVID-19 confirmed cases trend for Canada?,5
505,How many cases in Quebec? ,5
496,How many COVID-19 related deaths have there been in Montreal?,5
497,How many days does it take to see the symptoms,5
503,How many case in montreal,5
502,how many new cases,5
501,how many case positive with COVID-19 ?,5
507,How many cases in Montreal,5
498,How many cases of coronavirus in Madagascar,5
500,Were there documented cases before January 2020?,5
499,how many deaths are in Italy as of March 21,5
396,when covid 19 is going to stop?,6
87,if i have symptoms should i go to the ER or should I call a doctor?,6
46,Is it ok to go outside to get fresh air?,6
20,what is pandemic,6
70,Where do I go if I have mild symptoms?,6
60,"If I experience symptoms but they are manageable, should I still go to the hospital for testing?",6
49,When will the pandemic end? ,6
277,Should I go to the ER or my physician directly if I'm infected?,6
15,I am in self isolation.   Is it ok to let in family members who must continue to go to work?,6
456,Will Covid19 go away like the 1918 influenza and SARS did,6
278,Where should I go?,6
323,Should I star home and even avoid going to the supermarket and drugstore?,6
195,When should I go to the hospital ,6
201,"What is the difference between a pandemic & epidemic? Why did WHO declare this a pandemic? What is the difference between social distancing, self-isolating and quarantine? To what extent is social distancing helpful? Why should I do this? When should you self-isolate? Will the virus be less effective when we get warmer weather?  When should I go to the hospital? Should I get tested if I was in contact with someone who has or is suspected of having covid19 (but do not have any symptoms)? Should I stop taking medications that suppress my immune system?  When someone in the household is coming and going (for work), how can we keep the home a safe place? Can the virus be transmitted through Air Conditioning? (from outside or from within the home) How long does the virus last on inanimate objects (plastic, glass, cardboard, metal)? What have we learned from countries like China, South Korea and Singapore that have been dealing with this for a longer period of time and have slowed the spread?",6
189,I was very sick with covid symptoms in late February and still coughing . Should I go get tested,6
364,Can I go for a run? Does running/exercise compromise my immune system? ,6
383,Am I allowed to go for a walk?,6
316,should I go to the hospital?,6
315,Are research fundings going to be cut as a result of the virus?,6
107,What is the nearest hospital to go to if I have a COVID-19?,6
231,Is it dangerous to go for a walk?,6
246,When should I go to the ER?,6
289,Is it safe for seniors to go out for a walk or inside shopping malls which are quite isolated these days?,6
261,when is this pandemic going to end?,6
188,"If my son if suppose to get tested tomorrow, but just starting to feel better. Can I cancel or should we still go?",6
270,when will the pandemic end?,6
335,When will it be ok to go outside?,6
191,Is it safe to go outside for a walk (social distancing from others)?,6
339,Are we going to have trouble buying milk? ,6
115,Isn't the economy impact (and the panic reaction) going to kill more than the virus? It seems the virus only kills 1%... while over 30% of the population might lose their jobs.,6
346,When should I go to the hospital?,6
135,When can I go to my cabin?,6
369,"I am having sore throat, cold, cough, temperature is not stable continuously increases and decreases. So Do I need to go for a test?",6
123,Can I go out after recovery even if I am still in quarantine time?,6
329,how is going,6
143,Can I still go out for grocery shopping even if I'm just getting back from vacations,6
138,How to prevent the spread of COVID-19?,7
18,How does Covid-19 spread?,7
154,How much the quarantine process has a positive impact on reducing contamination spread?,7
93,How fast will the pandemic spread in Canada?,7
118,Is there a different varient of virus which is spreading across the world,7
61,is china responsible for the spreading of COVID-19?,7
347,Does the virus spread by rain?,7
55,Does COVID-19 spread by means of gametes?,7
338,how is covid 19 spread?,7
387,How does it spread ?,7
210,How long has the virus been spreading in Canada?,7
324,Will social distancing slow the spread of covid-19?,7
41,how to prepare for spread of covid 19?,7
226,When will it stop spreading? Is 2 weeks enough? ,7
284,How does COVID-19 spread?,7
565,How do I know I have covid?,8
549,How i know that i 'm ill,8
550,may I know what is corona?,8
551,How to know if I get COVID-19 or not?,8
552,"What measures can I take, if someone I know is effected with the virus",8
553,what do you know about COVID-19?,8
554,How do I know if I have the covid-19,8
555,how to know that somebody have a corona,8
556,"My head hurts, my body aches a little and I feel a cold coming. How do I know if this is Covid-19 or just an ordinary cold?",8
559,how to know if i have corona,8
560,How do I know if I haver coronavirus?,8
561,I'd love to know how long I can be contagious?,8
562,How do I know if I have the corona virus,8
563,How do I know if I have been infected?,8
564,What have you implemented to help older people who do not know how to use the internet/phone to obtain their groceries and medicine?,8
557,How do I know if my chest is hurt because lung damage or another cause?,8
558,How do I know if I have the flu or coronavirus,8
548,"If there are kids around me, do I have to worry if they are infected and I do not know?",8
583,How long can the covid-19 survive outside the body,9
587,How long does it take to recover?,9
586,How long does COVID-19 live on glass surfaces?,9
585,"If I have covid-19, how long will I be contagious?",9
590,How long will social distancing measures last?,9
584,How long after testing do you receive your COVID-19 results? ,9
582,How long do the symptoms of COVID-19 last for?,9
581,How long do you think we will have to be in a lockdown ,9
580,How long am I infectious for,9
579,"How long the sickens last, m",9
578,How long until an infected person shows symptoms?,9
577,How long does it takes to get first symptom of Covid-19 ,9
576,How long does it last? ,9
575,How long will it last?,9
574,How long will it take for a vaccine to be produced?,9
573,How long does it take to recover?,9
572,How long is the treatment?,9
571,how long does COVID-19 virus lasts in the body?,9
566,How long is this expected to last?,9
567,How long will the pandemic last?,9
588,How long will it take to develop a vaccine ? ,9
568,Is there an estimate as to how long the crisis will last?,9
589,How long before symptoms start to show? ,9
569,How long does it take an average person to recover?,9
570,How long does it last once infected ?,9
632,Where can I get tested?,10
630,Were can I get tested? ,10
634,"I would like to get COVID19 test, where can I get it?",10
635,where can I test for covid,10
636,How do I know when to get tested?,10
637,"if i think i have it, should i got get tested",10
629,where can I get tested,10
631,Where do we get the test for COVID-19?,10
633,Where should I be tested ?,10
627,Whatâ€™s the incubation period? ,11
622,Is the virus infectious during incubation period?,11
624,What is the incubation time of covid-19 by age,11
621,What is the incubation time of the virus?,11
620,What is the incubation period for COVID-19?,11
625,How long is incubation period? ,11
626,How long does this virus incubate? ,11
628,What is the period of incubation?,11
623,What is the incubation period? ,11
655,What is COVID-19?,12
664,what is covid-19,12
654,What is covid-19?,12
643,What is Covid-19?,12
665,Do I have covid?,12
666,what is covid-19 ?,12
642,What is the COVID-19?,12
641,What is the covid?,12
667,About COVID-19,12
638,what is covid-19,12
645,what is covid 19,12
646,Covid-19,12
644,Covid?,12
647,What is COVID-19?,12
663,Why Covid 19?,12
653,What is COVID-19,12
656,What is covid,12
657,Covid-19,12
658,What is Covid 19,12
652,What is COVID 19,12
651,What is covid-19?,12
640,What is covid,12
649,What is covid?,12
659,What is Covid-19 virus?),12
639,What is COVID 19?,12
660,Whatâ€™s COVID-19?,12
661,What is covid 19?,12
648,what's is COVID-19?,12
662,what is covid-19,12
650,What is covid,12
685,how many people died?,13
684,How many people have dies,13
683,how many people died so far?,13
682,how many people die for cover?,13
681,how many people in America?,13
680,What is the probability of dying?,13
679,how many people positive with Covid-19 in the world?,13
678,how to interact with people,13
674,What are the risks for people with diabetes? ,13
676,how many people have died,13
675,who is at risk of dying after contracting the virus?,13
673,How many people died in Belgium?,13
672,How many people died in NYC,13
671,Can I die from Covid-19?,13
669,how many people positive result with COVID-19,13
668,how many people related covid-19,13
677,how many people have died in the US?,13
670,How many people have it in my town?,13
687,How does it die in asymptomatic people?,13
686,Can you die from contracting covid?,13
542,what are the symptoms of coronavirus,14
541,How to differentiate between coronavirus and simple flu?,14
523,how long people live after being infected by coronavirus,14
524,What should I do if I have Coronavirus symptoms?,14
525,Is it true that warm kills Coronavirus?,14
526,"I was in contact with a person who had coronavirus, what should I do? ",14
527,How do people get infected with Coronavirus?,14
528,How long are you contagious if you have Coronavirus?,14
529,How do I distinguish between the flu and coronavirus?,14
530,What's the difference between COVID-19 and CoronaVirus?,14
531,What is the half-life of coronavirus?,14
532,Can anti-viral drugs be used to treat the coronavirus?,14
539,"What are differences in term of symptoms between the new coronavirus and normal flu, cod",14
534,"I think I have coronavirus, should I go to the emergency",14
533,what are the main symptoms of coronavirus,14
544,How does coronavirus propagate?,14
545,Should I use asprin with I have the coronavirus?,14
546,is fever a symptom of coronavirus? ,14
547,What is coronavirus ?,14
543,What is the main symptoms of the disease related to new coronavirus,14
538,Will high temperature kill coronavirus?,14
537,Is the phlegm color suggestive of coronavirus? ,14
535,How do I treat coronavirus?,14
536,Is it true that warm kills Coronavirus?,14
540,what is coronavirus,14
415,What are the symptoms of COVID-19?,15
410,symptoms of covid-19,15
409,What are the symptoms of Covid-19?,15
404,what are covid-19 symptoms?,15
403,What are the symptoms of COVID-19,15
412,what are covid symptoms,15
402,Symptoms of Covid ,15
400,what are the symptoms of covid-19,15
399,what are the symptoms of COVID-19?,15
421,What are the symptoms of Covid-19?,15
423,What is the covid-19 symptoms? ,15
401,What are the symptoms of COVID-19?,15
419,What are symptoms ,16
418,What do I do if I have symptoms?,16
417,Symptoms,16
416,What are the symptoms ,16
420,Symptom,16
414,What are the symptoms,16
422,What are the Symptome ,16
411,Symptom,16
408,what are the symptoms,16
407,what is the symptoms?,16
406,What are the symptoms,16
405,What are the symptoms?,16
398,What are the symptoms,16
397,What are the symptoms,16
413,what are the symptoms,16
31,What are you symtoms of covid? ,17
25,My brother has COVID-19. What to do?,17
394,if my tempreture is over 39 can i assume that i have covid-19 ?,17
361,What is the impact that covid-19 has in the economy?,17
23,I think I have COVID,17
360,How Covid-19 started?,17
142,COVID-19 stands for what?,17
19,Is COVID-19 air-borne?,17
42,What is the meaning of COVID-19?,17
89,What is the origin of COVID-19?,17
145,What are the side-effects of hydroxychloroquine for treating COVID-19?,17
12,treatment for covid 19,17
147,What about the researches with respect to treatment of COVID-19,17
139,"Once you are cured from Covid-19, can you catch it again?",17
367,Is itchy throat sign of covid 19,17
53,How can i cure covid-19?,17
129,What to do if I think I have covid 19?,17
52,What COVID-19 stands for?,17
58,What is covid 29,17
117,what is covid-2019,17
65,Where did COVID-19 come from?,17
377,Impact of covid,17
78,How can I protect myself from the covid-19?,17
79,Can you catch covid 19 after having had it before ,17
379,Will herd immunity be the only means of eradicating COVID-19?,17
85,How effective is the new drug manufactured by Fujifilm Toyama Chemicals in treating COVID-19?,17
104,How should I keep my family safe during covid-19?,17
103,Do i have a covid or is it just a cold?,17
395,Is it safe to order food during the COVID-19 pandemic?,17
101,is covid-19 dangerous,17
45,"If you contract COVID-19, how do you treat yourself at home?",17
7,Can you smoke cannabis during Covid?,17
1,What do I do if someone with COVID-19 spotted?,17
351,Does COVID 19 cause stomach issues,17
330,Can the Covid survive in the air?,17
200,Infomation about covid,17
322,How about covid situations? ,17
204,Define covid 18,17
207,What colour is covid 19?,17
209,Would using heated-vapor humidifier help with sanitizing the sinuses of the covid-19?,17
211,Is there more than one strain of COVID-19?,17
212,what treatments are available for covid-19?,17
220,Why is called COVID-19,17
224,I have a bit of nausea and headache. Do i have covid-19?,17
309,age wise statistics for covid-19,17
307,How does COVID-19 affect lungs? And how do you see this pandemic will impact the world's economy?,17
305,How is covid transmitted?,17
4,What are the covid simptons?,17
235,I have a lot of stress regarding COVID-19,17
242,When will covid end? ,17
296,Does Quebec Health Public System have the capacity to fight this COVID-19 outbreak ?,17
295,I cough. is it Covid-19?,17
254,How to protect my family from COVID-19?,17
291,Can COVID-19 stay alive on fresh fruit and vegetables?,17
260,How can I differ between covid and normal flu ?,17
287,Is it true that COVID-19 can survive up to a few days on hard surfaces?,17
262,"How can I make sure, I am buying from grocery is safe from COVID-19 ",17
283,How does COVID-19 kill its victims?,17
274,Is covid very dangerous,17
166,What can we do to protect ourselves from COVID-19?,17
162,How dangerous is the COV-19?,17
156,should I worry about covid 19?,17
240,What places of laval has covid-19,17
180,Does covid transfer through air?,17
593,Can this virus infect me in an airborne fashion?,18
592,Can I get infected after I healed from it?,18
619,What do I do if I suspect I'm infected?,18
618,"Does Pneumonia vaccine, which is for a bacterial infections, helps the immune system to deal with the viral infection of Covid-19 more easily? By removing the possibility of bacterial infection and just focusing on viral infection!",18
617,What is the current situation of COVID-19 infections?,18
616,Get I get infected from a dog?,18
615,Can you get be infected more than once? ,18
613,"If someone was infected once, can they be reinfected? Can they still carry the virus and infect others?",18
612,How to take care of infected people ,18
611,What is the estimated population that will be infected by the covid-19 virus?,18
610,Which country infected ? ,18
609,How many people are infected in Lithuania?,18
608,Can I get the virus from breathing infected airborn particules,18
607,What should I do if i think that i'm infected ?,18
606,"What are the demographics of people infected, hospitalized and deceased in Quebec, ",18
605,Which country infected ? ,18
604,From the infected worldwide population what will be the ratio of asymptomatic people,18
603,Can antibiotics deal with viral infection?,18
602,How COVID-19 is infecting?,18
601,Is it possible to be infected again?,18
600,how can I prevent to get infected?,18
599,How many people are infected in toronto,18
598,How covid-19 virus infected?,18
597,Can I get infected from food or grocery delivery?,18
596,I have cough. Does that mean I might be infected?,18
595,How many infected person in south korea?,18
594,Am I infected,18
591,Does everyone infected need a respirator?,18
614,Do I have to wear a mask all the time if I am not infected?,18
