,timestamp_est,anonymous_id,language,question,detected_lang,symptom,about,cases,incubation,infection,nextsteps,test,total,cluster,can,hospital,isolation
1,2020-03-21 22:41:05.702,7a8ef480-4e63-429e-b7ff-4763ad47cfe2,pt,When should I go to the hospital,en,0,0,0,0,0,0,0,1,hospital,0,1,0
2,2020-03-22 20:44:40.577,b3923f7c-ea90-4af2-94c5-5ee8736975fd,ko,I think I have a fever What do I do,en,0,0,0,0,0,1,0,1,nextsteps,0,0,0
4,2020-03-22 11:24:07.614,7977f4b9-e495-45f7-a5ca-841359f618ac,es,What s covid19,en,0,1,0,0,0,0,0,1,about,0,0,0
5,2020-03-22 16:34:39.551,4b388591-5ea5-401f-b387-9a4e6be70a91,pt,Does the virus spread by rain,en,0,0,0,0,0,0,0,0,,0,0,0
7,2020-03-22 18:37:45.23,f2db6c52-2c2a-4b9d-bc14-c5e71263788d,es,What are the synthoms,en,1,0,0,0,0,0,0,1,symptom,0,0,0
8,2020-03-21 23:43:37.95,ad758027-60ef-4316-974a-6856cdf18b7b,zh,what is covid 19,en,0,1,0,0,0,0,0,1,about,0,0,0
10,2020-03-23 08:35:41.274,fb8c308a-e920-42c9-86e1-4549263409fd,es,What mesures needs to take a pregnant women to reduce the risk,en,0,0,0,0,0,0,0,0,,0,0,0
11,2020-03-23 03:26:43.086,d1c57c03-08b8-48d1-ac72-767b54ab1797,zh,Do you think Taiwan is good,en,0,0,0,0,0,0,0,0,,0,0,0
12,2020-03-22 09:18:50.348,bcd29986-5e46-441c-921c-061ee2623526,es,How s the shortness of breath,en,0,0,0,0,0,0,0,0,,0,0,0
13,2020-03-21 22:41:05.632,7a8ef480-4e63-429e-b7ff-4763ad47cfe2,pt,How do I know if I haver coronavirus,en,0,0,0,0,0,1,0,1,nextsteps,0,0,0
14,2020-03-22 01:00:35.045,b8ba88da-151b-4d8a-a573-738feccd7008,es,covid19 symptons,en,1,0,0,0,0,0,0,1,symptom,0,0,0
15,2020-03-21 16:38:20.457,d2bf053f-2512-4f30-aab6-cf74894dc3c2,it,Is the Asymptomatic Carrier a temporary status,en,1,0,0,0,0,0,0,1,symptom,0,0,0
18,2020-03-22 23:25:50.815,838b0278-0b8e-4e9c-919d-500676aa9362,ru,What is it,en,0,0,0,0,0,0,0,0,,0,0,0
19,2020-03-22 18:12:15.255,95a344d0-0b90-4d40-bcec-ff414c0011bb,pl,How to avoid exposure,en,0,0,0,0,0,0,0,0,,0,0,0
23,2020-03-22 00:20:18.787,91c3514c-e3f6-43cd-beae-fb8cdcde4365,vi,What is Covid 19,en,0,1,0,0,0,0,0,1,about,0,0,0
25,2020-03-22 11:34:31.975,616e3fe0-cace-40fc-b66d-be3d4e3e8f69,es,What is the covid,en,0,1,0,0,0,0,0,1,about,0,0,0
26,2020-03-22 14:31:25.652,0b6c858e-1625-474b-991c-b4d20f11cec1,pt,What is the impact that covid 19 has in the economy,en,0,1,0,0,0,0,0,1,about,0,0,0
27,2020-03-22 06:05:35.159,f82b7385-b640-4e24-ad47-47188da99a82,vi,Which country infected,en,0,0,0,0,1,0,0,1,infection,0,0,0
29,2020-03-22 04:09:06.973,9dd21188-850f-4556-a89e-a11d4f6563b6,es,What is covid,en,0,1,0,0,0,0,0,1,about,0,0,0
45,2020-03-23 05:23:45.594,ff36e21c-f99a-4015-8fa0-bf1e7cceb028,es,What is the COVID 19,en,0,1,0,0,0,0,0,1,about,0,0,0
48,2020-03-22 13:11:45.491,58b49517-abdc-4c17-9398-0359753a23ec,ko,South korea,en,0,0,0,0,0,0,0,0,,0,0,0
61,2020-03-22 15:15:16.422,e90e8f0c-f73b-4fe1-9fcb-bed2f01dacb1,ro,How many people have dies,en,0,0,0,0,0,0,0,0,,0,0,0
83,2020-03-22 12:52:26.493,e84cb4b5-9e76-41f5-8c2a-04c6413dd1fd,fr,What is coronavirus,en,0,1,0,0,0,0,0,1,about,0,0,0
111,2020-03-21 23:21:56.733,8e750805-9fc2-4702-a244-0b7e67cf29ad,vi,What is,en,0,0,0,0,0,0,0,0,,0,0,0
118,2020-03-23 13:10:54.162,c25acb81-1f1a-4f2e-ae29-9216bbd03c22,fr,Will the heat of the summer help fighting the virus,en,0,0,0,0,0,0,0,0,,0,0,0
123,2020-03-22 09:45:57.944,90055b1e-cd4c-43aa-8914-1b8b2a531841,fr,Do we see a future where this virus won t be such a threat anymore,en,0,0,0,0,0,0,0,0,,0,0,0
129,2020-03-23 17:27:35.466,9d9a6c0f-5138-4d85-8b41-7f9239c14bb4,es,Do the virus stay in air,en,0,0,0,0,0,0,0,0,,0,0,0
136,2020-03-21 23:34:33.27,a26511f8-07a7-4e76-a246-c4c22f5f7f04,fr,Non,en,0,0,0,0,0,0,0,0,,0,0,0
143,2020-03-23 05:30:04.724,d46d22ae-35bb-42f7-a712-ec587b1ef363,fi,what are the symptoms,en,1,0,0,0,0,0,0,1,symptom,0,0,0
149,2020-03-23 05:28:46.341,d01635c9-e732-4ea4-a721-a4e4dd447617,en,what are the syptoms,en,1,0,0,0,0,0,0,1,symptom,0,0,0
154,2020-03-22 13:11:45.572,58b49517-abdc-4c17-9398-0359753a23ec,ko,How many infected person in south korea,en,0,0,0,0,1,0,0,1,infection,0,0,0
155,2020-03-22 18:12:15.188,95a344d0-0b90-4d40-bcec-ff414c0011bb,pl,What is the incubation time of the virus,en,0,0,0,1,0,0,0,1,incubation,0,0,0
156,2020-03-22 13:41:43.827,283caf34-28a4-40d1-8e39-344b1843cd33,en,Why Germany has a low death rate,en,0,0,1,0,0,0,0,1,cases,0,0,0
159,2020-03-22 10:48:17.478,369aaaf4-82db-4e01-85dd-da912c45fa1f,en,I have cough Does that mean I might be infected,en,0,0,0,0,1,1,0,2,nextsteps,0,0,0
160,2020-03-21 20:56:54.137,a0147f27-050a-456f-9d52-8f4b317ba678,zh,how is going,en,0,0,0,0,0,0,0,0,,0,0,0
161,2020-03-22 11:54:26.169,6173618c-7291-45d0-8b5c-ca71a8e2e4ff,en,Can the Covid survive in the air,en,0,0,0,0,0,0,0,0,,0,0,0
162,2020-03-24 00:16:32.216,04d8887f-99ab-4148-a615-cfc89f9917e0,en,Does covid 19 test anonymous,en,0,0,0,0,0,0,1,1,test,0,0,0
163,2020-03-22 13:33:58.806,1fc3566f-0b50-4b55-a2a6-8448e5fb5d15,en,What kind of medication can I take if I have the virus,en,0,0,0,0,0,1,0,1,nextsteps,0,0,0
164,2020-03-21 17:41:30.343,a450d496-8c9b-497f-b19e-b5371abac3f6,en,Will Covid19 go away like the 1918 influenza and SARS did,en,0,0,0,0,0,0,0,0,,0,0,0
165,2020-03-23 15:07:45.759,253f115d-8fe4-4782-aae2-c247d6da2032,en,Are there still flights within Canada,en,0,0,0,0,0,0,0,0,,0,0,0
167,2020-03-22 13:27:59.007,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,Is there a vaccine for corona virus,en,0,0,0,0,0,0,0,0,,0,0,0
176,2020-03-23 04:52:23.213,40af037e-f13f-4db3-85cc-3985a144d597,en,I have fever what I should do,en,0,0,0,0,0,1,0,1,nextsteps,0,0,0
177,2020-03-21 21:37:13.343,3b9bc929-27fa-40df-ae67-e24ad9a547b6,en,Does a throat feel itchy or really sore and a symptom,en,1,0,0,0,0,0,0,1,symptom,0,0,0
179,2020-03-23 09:19:32.029,5e6eb356-0de6-4e9b-888c-978692b94fb0,en,Precautions to measure,en,0,0,0,0,0,0,0,0,,0,0,0
186,2020-03-23 17:00:34.706,eb2e1204-e195-4149-acd8-f717654e9c22,en,How many confirmed cases in Ontario now,en,0,0,1,0,0,0,0,1,cases,0,0,0
187,2020-03-22 09:50:59.627,4508c214-cc94-4d85-9e93-ac1c77bac593,en,If I m sneezing should I get tested for corona virus,en,0,0,0,0,0,0,1,1,test,0,0,0
188,2020-03-22 14:51:49.224,9943a63e-5fbb-4bfb-bcbf-a1ea626cddde,en,Are we going to have trouble buying milk,en,0,0,0,0,0,0,0,0,,0,0,0
189,2020-03-23 08:28:28.928,9db5e060-f3c1-418c-a30f-e67f18eb2ed9,en,What is Covid19,en,0,1,0,0,0,0,0,1,about,0,0,0
190,2020-03-22 14:26:11.921,5676ef6b-e1c8-4abd-b50e-55644265685f,en,Is headache a symptom of this pandemic,en,1,0,0,0,0,0,0,1,symptom,0,0,0
194,2020-03-22 12:07:12.342,59a2603a-03eb-4f8f-8422-6fc6eaedbce0,en,How much longer will society need to socially isolate,en,0,0,0,0,0,0,0,1,isolation,0,0,1
199,2020-03-22 15:40:23.555,dcc33a42-d9fc-4e7b-832e-406610f147a5,en,Is itchy throat sign of covid 19,en,0,0,0,0,0,0,0,0,,0,0,0
201,2020-03-22 05:35:12.909,0767dfda-13f9-4f5b-a57d-7284913a7fb4,en,Where are the testing centers located in Mtl,en,0,0,0,0,0,0,1,1,test,0,0,0
202,2020-03-19 17:59:25.201,ce80a1dc-7cbd-4922-8b00-b491a17da62e,en,mental health,en,0,0,0,0,0,0,0,0,,0,0,0
206,2020-03-22 19:53:39.8,9410efa1-ed15-44ed-a9c9-314a8eaf641e,en,When will the treatment be available for this pandemic,en,0,0,0,0,0,0,0,0,,0,0,0
207,2020-03-22 13:27:59.058,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,which hospital takes the test for covid 19,en,0,0,0,0,0,0,1,1,test,0,0,0
211,2020-03-22 12:32:08.073,0f13b85e-8a94-43be-90df-10d7cee538d6,en,What is the current situation of COVID 19 infections,en,0,1,0,0,1,0,0,2,infection,0,0,0
213,2020-03-22 00:10:19.935,165dfaa6-84a9-4f0b-85ed-a217530bd003,en,How does it spread,en,0,0,0,0,0,0,0,0,,0,0,0
218,2020-03-22 09:35:47.321,13b14987-413a-4d47-8e56-3af43f79db8a,en,How many cases in Quebec,en,0,0,1,0,0,0,0,1,cases,0,0,0
220,2020-03-22 14:51:49.196,9943a63e-5fbb-4bfb-bcbf-a1ea626cddde,en,What are the symptoms of vivid 19,en,1,0,0,0,0,0,0,1,symptom,0,0,0
223,2020-03-23 20:23:47.75,5af1b8a0-ab45-4500-98be-16267b9dd9cd,en,How long are you contagious if you have Coronavirus,en,0,0,0,0,0,0,0,0,,0,0,0
229,2020-03-22 13:27:59.069,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,when covid 19 is going to stop,en,0,0,0,0,0,0,0,0,,0,0,0
230,2020-03-23 21:28:34.604,af5a57b6-4ee8-4ef3-a8cb-5c50fc5dcf1d,en,Chlono,en,0,0,0,0,0,0,0,0,,0,0,0
232,2020-03-22 22:30:37.567,fa54dca2-0441-4927-959c-22aa2935c999,fr,if my tempreture is over 39 can i assume that i have covid 19,en,0,0,0,0,0,1,0,1,nextsteps,0,0,0
233,2020-03-22 09:19:12.019,9652758a-fdec-4d0e-9df3-7afb387acfda,en,Is the virus infectious during incubation period,en,0,0,0,1,0,0,0,1,incubation,0,0,0
236,2020-03-23 15:07:45.741,253f115d-8fe4-4782-aae2-c247d6da2032,en,Am I allowed to go for a walk,en,0,0,0,0,0,0,0,0,,0,0,0
240,2020-03-22 22:41:07.611,cc8d9a63-3ef9-468b-a011-d14d5d227676,en,Where can we find ventilator,en,0,0,0,0,0,0,0,0,,0,0,0
241,2020-03-22 13:00:55.382,162ca7e2-dcfc-4f8b-9144-a2e80699e6b4,fr,what is the death rate of the new corona virus,en,0,1,1,0,0,0,0,2,cases,0,0,0
246,2020-03-22 12:24:22.35,88eb9c72-80fe-4a99-9c0b-4902cfb33220,en,As of today can we gather only 2,en,0,0,0,0,0,0,0,0,,0,0,0
249,2020-03-21 22:14:57.789,4fc18b76-78d2-4527-9e1b-f9681a3c4fe3,en,what are the conditions under which people are most likely to develop complications versus those who won t,en,0,0,0,0,0,0,0,0,,0,0,0
252,2020-03-23 10:00:42.225,36859b58-afd1-4d34-a5ee-98c2852b30d0,en,may I know what is corona,en,0,1,0,0,0,0,0,1,about,0,0,0
253,2020-03-23 04:24:57.465,ebbb6325-119b-4b45-9068-d429be20b63d,en,What is a vaccin becoming available,en,0,1,0,0,0,0,0,1,about,0,0,0
254,2020-03-22 13:38:45.008,d8884f31-8b7d-43c8-b44e-c5f3ede233b9,en,Will the largest commercial suppliers in the country be urged to provide necessities for each household for delivery We have Sobey s Loblaw Amazon Walmart and Intelcom who do this today but in an unconcerted way,en,0,0,0,0,0,0,0,0,,0,0,0
256,2020-03-22 13:08:22.331,dc44373e-a58b-452c-a0af-5a6cd4d18442,en,Can I get the virus from a stray cat,en,0,0,0,0,0,0,0,0,,0,0,0
258,2020-03-22 00:06:37.353,39934ada-d827-4868-8aff-58dcaaf317e7,en,Impact of covid,en,0,0,0,0,0,0,0,0,,0,0,0
262,2020-03-22 13:38:44.851,d8884f31-8b7d-43c8-b44e-c5f3ede233b9,en,Will herd immunity be the only means of eradicating COVID 19,en,0,0,0,0,0,0,0,0,,0,0,0
276,2020-03-22 16:55:09.281,9ab06c55-9cde-4653-ac4b-923f425adaf0,en,what are the symptoms of COVID 19,en,1,0,0,0,0,0,0,1,symptom,0,0,0
280,2020-03-22 13:27:58.893,c5de5397-fae3-40ce-9ef8-ff4051bb7aa3,en,how is covid 19 spread,en,0,0,0,0,0,0,0,0,,0,0,0
281,2020-03-22 09:45:32.887,93e77e53-231e-452a-888f-19fe67b711a8,en,How can I make the difference between a cold and covid19,en,0,0,0,0,0,0,0,0,,0,0,0
282,2020-03-22 20:22:37.549,4bacba8b-2680-4b67-bc92-c7034ff4c482,en,Should I star home and even avoid going to the supermarket and drugstore,en,0,0,0,0,0,0,0,0,,0,0,0
284,2020-03-22 13:09:02.01,efadf5dd-c279-4ad3-9522-7e7fa841941f,en,How does COVID 19 spread,en,0,0,0,0,0,0,0,0,,0,0,0
289,2020-03-21 15:36:44.629,65485caa-ddf9-4d7e-9988-479f9331cc49,en,How many cases in Montreal,en,0,0,1,0,0,0,0,1,cases,0,0,0
293,2020-03-23 05:40:53.059,8b377bca-d8b9-4717-832f-9422b632b727,en,What are the symptoms of the covid19,en,1,0,0,0,0,0,0,1,symptom,0,0,0
295,2020-03-21 09:58:36.661,cd7d48a5-e664-4b53-bfc4-0135570a8865,en,How do I treat coronavirus,en,0,0,0,0,0,0,0,0,,0,0,0
297,2020-03-21 16:03:27.625,1ec981b1-26fc-4ae7-a416-a8c4bc026179,en,How do people get infected with Coronavirus,en,0,0,0,0,1,0,0,1,infection,0,0,0
298,2020-03-22 18:00:54.387,06ec8efe-4ca7-4e4a-b37e-032e253d97fc,en,In the U S why has the Defense Production Act not been invoked to allow weekly testing of every single person present in The United States Yes this is on the scale of industrialization of the WW2 era and yes that is exactly what the Defense Production Act is for,en,0,0,0,0,0,0,1,1,test,0,0,0
299,2020-03-22 19:06:03.095,a245370e-481d-439b-ad2b-d5d10262c63e,en,who is at risk of dying after contracting the virus,en,0,0,0,0,0,0,0,0,,0,0,0
300,2020-03-23 18:41:12.826,a0abd62a-d530-4d21-bed6-281fc8c1710b,en,Is the test covered in in CIHIP,en,0,0,0,0,0,0,1,1,test,0,0,0
301,2020-03-22 18:22:29.936,bc8b4606-4450-46f3-b321-f3343666c5e5,en,Will social distancing slow the spread of covid 19,en,0,0,0,0,0,0,0,1,isolation,0,0,1
303,2020-03-21 19:14:49.917,9973a414-c87b-4aca-ae1a-2b4ea5290674,en,What s the point of asking you questions if you don t have answers,en,0,0,0,0,0,0,0,0,,0,0,0
306,2020-03-22 20:59:02.646,ed3bf719-672b-4763-9c85-766920a9ae68,en,why is my dick so big,en,0,0,0,0,0,0,0,0,,0,0,0
308,2020-03-22 11:12:29.231,0ad487b2-a4ae-4137-a487-831f7af8827b,en,Is it true that warm kills Coronavirus,en,0,0,0,0,0,0,0,0,,0,0,0
310,2020-03-22 06:57:31.927,61c83b3d-a930-47dc-ab83-5118cee03b84,en,Why are death rates so different across countries,en,0,0,1,0,0,0,0,1,cases,0,0,0
311,2020-03-22 23:14:24.727,96874ddc-b0a3-4b88-81da-660395818439,en,How does COVID 19 kill its victims,en,0,0,0,0,0,0,0,0,,0,0,0
316,2020-03-21 17:20:59.195,1c991aeb-b4df-4d84-9595-367d7385e3b6,en,I am 43 What s the chance of my survival if I get covid,en,0,1,0,0,0,0,0,1,about,0,0,0
321,2020-03-22 10:02:12.715,daaba43f-5775-4b04-a4c5-d63eb2006767,en,Where should I go,en,0,0,0,0,0,0,0,0,,0,0,0
323,2020-03-22 11:24:07.581,7977f4b9-e495-45f7-a5ca-841359f618ac,es,What s covid19,en,0,1,0,0,0,0,0,1,about,0,0,0
325,2020-03-22 16:15:14.315,ff98d901-ca76-477f-9b6f-fccacd3ed7d9,zh,Should I wear mask,en,0,0,0,0,0,0,0,0,,0,0,0
326,2020-03-21 20:27:40.438,9b75dedf-19e7-4eb4-9ffd-5cec8f5752d3,en,What are the most common symptoms of COVID 19,en,1,0,0,0,0,0,0,1,symptom,0,0,0
330,2020-03-23 04:40:13.18,da9b2add-7382-4893-bf9d-4ceeb5b899fe,en,Symptoms of corona,en,1,0,0,0,0,0,0,1,symptom,0,0,0
331,2020-03-22 12:10:58.39,590dfeb1-319c-4489-b97e-f4ab3c88a171,en,I have cold for couple of weeks Have cough over night and regular mucous during day and night Feel a bit hot but not fever that can be feel Sometimes ear pain for infection Some times get stressed on having corona Does any of these symptoms suggest that I have quarantined myself for over 10 days,en,1,0,0,0,1,1,0,3,nextsteps,0,0,0
336,2020-03-23 19:58:42.776,ea3de551-6dff-488c-83b8-3d096d85f95e,en,where can I help,en,0,0,0,0,0,0,0,0,,0,0,0
338,2020-03-22 20:23:26.285,7671d78f-dd94-43b2-adc1-7cc74066da67,en,how many people positive result with COVID 19,en,0,0,0,0,0,0,0,0,,0,0,0
339,2020-03-21 11:32:09.906,470bcaef-ae5a-45ad-a380-b79ad65d42b8,en,How often should i take my temperature,en,0,0,0,0,0,0,0,0,,0,0,0
340,2020-03-22 18:38:09.464,352ad638-846c-430b-97b8-83a92a3264dd,en,how many cases are there in Washington state,en,0,0,1,0,0,0,0,1,cases,0,0,0
342,2020-03-22 11:56:15.742,02909506-2fad-4062-bce6-cb73b87115a9,en,What is the advice surrounding outdoor exercise sport,en,0,0,0,0,0,0,0,0,,0,0,0
348,2020-03-22 11:56:15.757,02909506-2fad-4062-bce6-cb73b87115a9,en,Will NHS workers be even more isolated because they are exposed to the virus on a daily basis,en,0,0,0,0,0,0,0,1,isolation,0,0,1
349,2020-03-21 20:56:54.136,a0147f27-050a-456f-9d52-8f4b317ba678,zh,is the grocery open,en,0,0,0,0,0,0,0,0,,0,0,0
350,2020-03-21 17:39:34.389,83f51718-d521-4b00-9f0e-01e5b2f5d68f,en,Who is at risk,en,0,0,0,0,0,0,0,0,,0,0,0
351,2020-03-22 14:09:57.984,22e81fdf-1dd6-4f10-8072-281d0ca95d9b,en,How to protect my family from COVID 19,en,0,0,0,0,0,0,0,0,,0,0,0
353,2020-03-21 15:44:24.109,0ad487b2-a4ae-4137-a487-831f7af8827b,en,Is it true that warm kills Coronavirus,en,0,0,0,0,0,0,0,0,,0,0,0
354,2020-03-22 11:33:58.608,e0521f0d-4e1b-493b-afdb-b9da4f1b57b1,en,is coughing phlem a symptom,en,1,0,0,0,0,0,0,1,symptom,0,0,0
356,2020-03-22 10:26:03.022,63e434b5-3732-4fe0-86d4-27c80650676d,zh,what s is COVID 19,en,0,1,0,0,0,0,0,1,about,0,0,0
357,2020-03-23 10:50:43.007,e48f28d5-ea78-4046-ba58-6eac5127b7a0,en,How many people are infected in Lithuania,en,0,0,0,0,1,0,0,1,infection,0,0,0
358,2020-03-23 12:15:21.32,8cc248fb-d15f-4ad3-afca-749df995bfd3,en,What are the best food to get good immune,en,0,0,0,0,0,0,0,0,,0,0,0
359,2020-03-22 19:53:39.741,9410efa1-ed15-44ed-a9c9-314a8eaf641e,en,when is this pandemic going to end,en,0,0,0,0,0,0,0,0,,0,0,0
360,2020-03-23 13:13:43.585,b649bfc4-8d01-48c2-9722-8cfeb94e6dd3,en,How can I make sure I am buying from grocery is safe from COVID 19,en,0,0,0,0,0,0,0,0,,0,0,0
366,2020-03-22 13:59:40.349,44e53980-fe10-4d87-98ae-a7c7873e1edf,en,How long could the virus stay alive on doorknobs traffic signal buttons stair rails,en,0,0,0,0,0,0,0,0,,0,0,0
372,2020-03-21 14:45:18.753,22acb4b7-fe15-46a8-bff8-109707707762,en,I would like clarifications about the fact that test results don t work if you don t have symptoms That does not seem like a commonality we usually see with tests like this,en,1,0,0,0,0,0,1,2,test,0,0,0
375,2020-03-21 23:14:22.428,e03f3e0a-a889-43d4-a506-4af32cbee107,en,What are the symptoms,en,1,0,0,0,0,0,0,1,symptom,0,0,0
377,2020-03-22 19:25:08.124,684292a0-0d18-4d7b-9c5e-3de13b0dd11a,ko,good morning,en,0,0,0,0,0,0,0,0,,0,0,0
380,2020-03-21 18:43:42.284,138f474a-fffc-4d8a-a448-d2b712ecb499,en,what are the symptoms,en,1,0,0,0,0,0,0,1,symptom,0,0,0
381,2020-03-22 11:14:44.09,db73fd7b-ca2f-4183-956f-b949e5ba4266,en,I think I have coronavirus should I go to the emergency,en,0,0,0,0,0,1,0,1,nextsteps,0,0,0
383,2020-03-22 16:18:27.883,1714860b-df06-4c07-aa5c-031b08b4f70d,en,Is fever the main symptom for vivid 19,en,1,0,0,0,0,0,0,1,symptom,0,0,0
384,2020-03-21 23:40:51.402,c9fc19e3-b94d-4fc0-be54-2449f256a04d,en,What are the symptoms,en,1,0,0,0,0,0,0,1,symptom,0,0,0
385,2020-03-21 11:41:51.96,abaf5c73-4246-463f-acdb-8acc5b349dee,en,Where should I be tested,en,0,0,0,0,0,0,1,1,test,0,0,0
389,2020-03-21 22:41:05.66,7a8ef480-4e63-429e-b7ff-4763ad47cfe2,pt,What are the main synptoms,en,1,0,0,0,0,0,0,1,symptom,0,0,0
390,2020-03-22 12:48:15.756,0ba1e485-4ea9-47d8-9f76-ee9ed31e920d,en,what is canada s situation right now,en,0,0,0,0,0,0,0,0,,0,0,0
393,2020-03-23 08:28:21.557,7ed7d294-a7b7-4274-894f-66d929d56bb8,en,How about covid situations,en,0,0,0,0,0,0,0,0,,0,0,0
394,2020-03-22 04:32:39.853,fbaf1b75-31c8-4652-b6c5-1cd56c78c9eb,en,how to interact with people,en,0,0,0,0,0,0,0,0,,0,0,0
396,2020-03-22 17:14:34.37,81462647-ac3c-4d40-8efa-e58aaeea78f5,en,Am I infected,en,0,0,0,0,1,0,0,1,infection,0,0,0
413,2020-03-22 11:38:18.234,f909e2a0-26a0-43af-8fa3-ab3a1b32cd00,en,What are the symptoms,en,1,0,0,0,0,0,0,1,symptom,0,0,0
417,2020-03-21 14:35:52.181,d50f1adb-49c7-42f9-a178-393f2ef34076,en,When should I visit a doctor,en,0,0,0,0,0,0,0,0,,0,0,0
419,2020-03-22 20:35:22.02,10bd6bb9-f50f-4d65-943a-5b1de75be3df,en,Would it help eradicate viruses immediately if we put in place proper healthcare systems throughout every country rich or poor and to also have enough health professionals worldwide in place who will immediately recognize if there is a contagious virus in their city to eradicate it before it spreads,en,1,0,0,0,0,0,0,1,symptom,0,0,0
420,2020-03-22 08:21:30.319,bf09701a-4cc6-4649-a947-03a18aaed80d,en,Is it true that COVID 19 can survive up to a few days on hard surfaces,en,0,0,0,0,0,0,0,0,,0,0,0
422,2020-03-23 09:23:14.826,8b406219-107c-4ebf-a9dd-e924d185ab80,en,Is it safe for seniors to go out for a walk or inside shopping malls which are quite isolated these days,en,0,0,0,0,0,0,0,1,isolation,0,0,1
428,2020-03-23 14:45:00.241,53da0935-849b-4cb3-b747-3343279d2f80,en,Can COVID 19 stay alive on fresh fruit and vegetables,en,0,0,0,0,0,0,0,0,,0,0,0
429,2020-03-22 12:49:37.292,0ed83b36-309e-4cb3-9e4f-1c31ce359e61,pt,Hello what happens after corona,en,0,0,0,0,0,0,0,0,,0,0,0
430,2020-03-22 17:08:08.29,c1e65a8a-7f3c-4c5e-98c3-5507d05f2cdd,en,I have throat,en,0,0,0,0,0,1,0,1,nextsteps,0,0,0
432,2020-03-23 22:31:49.042,543dc964-0ddd-4ff9-94bf-423b077981e0,en,I worry for my mental health during quarantine,en,0,0,0,0,0,0,0,0,,0,0,0
