,Unnamed: 0,question,ahc_label,rule_based,ahc_manual_clutser_label,cluster
0,169,Are research fundings going to be cut as a result of the virus,0.0,unclassified,,
1,439,Is it ok to go outside to get fresh air,0.0,unclassified,,
2,78,Should I star home and even avoid going to the supermarket and drugstore,0.0,unclassified,,
3,46,Are we going to have trouble buying milk,0.0,unclassified,,
4,38,Will Covid19 go away like the 1918 influenza and SARS did,0.0,unclassified,,
5,94,Where should I go,0.0,unclassified,,
6,60,when covid 19 is going to stop,0.0,unclassified,,
7,342,When should I go to the ER,0.0,unclassified,,
8,34,how is going,0.0,unclassified,,
9,64,Am I allowed to go for a walk,0.0,unclassified,,
10,228,When will it be ok to go outside,0.0,unclassified,,
11,621,how much fever should i tolerate before going to the doctor,0.0,unclassified,,
12,479,Is there more than one strain of COVID 19,1.0,unclassified,,
13,176,How does COVID 19 affect lungs And how do you see this pandemic will impact the world s economy,1.0,unclassified,,
14,73,Impact of covid,1.0,unclassified,,
15,173,age wise statistics for covid 19,1.0,unclassified,,
16,180,How can I differ between covid and normal flu,1.0,unclassified,,
17,133,Is it true that COVID 19 can survive up to a few days on hard surfaces,1.0,unclassified,,
18,255,How effective is the new drug manufactured by Fujifilm Toyama Chemicals in treating COVID 19,1.0,unclassified,,
19,92,How does COVID 19 kill its victims,1.0,unclassified,,
20,216,Is it safe to order food during the COVID 19 pandemic,1.0,unclassified,,
21,127,How about covid situations,1.0,unclassified,,
22,115,How can I make sure I am buying from grocery is safe from COVID 19,1.0,unclassified,,
23,329,How should I keep my family safe during covid 19,1.0,unclassified,,
24,292,My head hurts my body aches a little and I feel a cold coming How do I know if this is Covid 19 or just an ordinary cold,1.0,unclassified,,
25,392,Can you smoke cannabis during Covid,1.0,unclassified,,
26,389,Will the pandemic affect university research,1.0,unclassified,,
27,74,Will herd immunity be the only means of eradicating COVID 19,1.0,unclassified,,
28,490,Define covid 18,1.0,unclassified,,
29,483,Would using heated vapor humidifier help with sanitizing the sinuses of the covid 19,1.0,unclassified,,
30,600,What are the side effects of hydroxychloroquine for treating COVID 19,1.0,unclassified,,
31,495,How do i knew if i got covid,1.0,unclassified,,
32,500,Infomation about covid,1.0,unclassified,,
33,542,What places of laval has covid 19,1.0,unclassified,,
34,591,Should I be moving house during a pandemic,1.0,unclassified,,
35,50,Is itchy throat sign of covid 19,1.0,unclassified,,
36,545,It would possible to predict the time of this pandemic,1.0,unclassified,,
37,108,How to protect my family from COVID 19,2.0,unclassified,protection/precaution,protection/precaution
38,663,What can we do to protect ourselves from COVID 19,2.0,unclassified,protection/precaution,protection/precaution
39,291,what kind of protective gear do i need to wear,2.0,unclassified,protection/precaution,protection/precaution
40,186,how to protect myself from it,2.0,unclassified,protection/precaution,protection/precaution
41,672,How can I protect myself,2.0,unclassified,protection/precaution,protection/precaution
42,178,How to protect myself on a plane,2.0,unclassified,protection/precaution,protection/precaution
43,270,How can I protect myself from the covid 19,2.0,unclassified,protection/precaution,protection/precaution
44,416,How long does it take an average person to recover,3.0,unclassified,recovery duration,recovery duration
45,624,How does it take to recover from the virus,3.0,unclassified,recovery duration,recovery duration
46,577,How long does it take to recover,3.0,unclassified,recovery duration,recovery duration
47,420,How long will it take to develop a vaccine,3.0,unclassified,recovery duration,recovery duration
48,347,how long would it take for the virus to disappear,3.0,unclassified,recovery duration,recovery duration
49,447,How long will it take for a vaccine to be produced,3.0,unclassified,recovery duration,recovery duration
50,311,How long does it take to recover,3.0,unclassified,recovery duration,recovery duration
51,231,how many people in America,4.0,unclassified,cases,cases
52,238,How many people have it in my town,4.0,unclassified,cases,cases
53,21,How many people have dies,4.0,unclassified,cases,cases
54,683,how many people related covid 19,4.0,unclassified,cases,cases
55,664,Can you die from contracting covid,4.0,unclassified,,
56,101,how many people positive result with COVID 19,4.0,unclassified,cases,cases
57,612,how many case positive with COVID 19,4.0,unclassified,cases,cases
58,380,In how many days can covid be cured,4.0,unclassified,,
59,445,how many people die for cover,4.0,unclassified,,
60,617,how many people positive with Covid 19 in the world,4.0,unclassified,cases,cases
61,345,Can I die from Covid 19,4.0,unclassified,,
62,615,How to prevent the spread of COVID 19,5.0,unclassified,transmission,transmission
63,308,Is there a different varient of virus which is spreading across the world,5.0,unclassified,transmission,transmission
64,351,How fast will the pandemic spread in Canada,5.0,unclassified,transmission,transmission
65,641,How much the quarantine process has a positive impact on reducing contamination spread,5.0,unclassified,transmission,transmission
66,353,is china responsible for the spreading of COVID 19,5.0,unclassified,transmission,transmission
67,570,When will it stop spreading Is 2 weeks enough,5.0,unclassified,transmission,transmission
68,414,Does COVID 19 spread by means of gametes,5.0,unclassified,transmission,transmission
69,449,how to prepare for spread of covid 19,5.0,unclassified,transmission,transmission
70,3,Does the virus spread by rain,5.0,unclassified,transmission,transmission
71,40,Is there a vaccine for corona virus,6.0,unclassified,vaccine,vaccine
72,681,Is there a vaccine for corona virus,6.0,unclassified,vaccine,vaccine
73,566,Is there a treatment for corona virus,6.0,unclassified,vaccine,vaccine
74,581,How long before we have a vaccine for corona,6.0,unclassified,vaccine,vaccine
75,618,When is the vaccine available,6.0,unclassified,vaccine,vaccine
76,399,Would it help to ensure there is a warehouse already filled with protective gear for health professionals worldwide instead of scrambling or ordering these last minute and also have enough hospitals built because if we don t do that we ll have to do what China did and build a hospital at the last minute,7.0,unclassified,,
77,487,How long does COVID 19 live on glass surfaces,7.0,unclassified,transmission,transmission
78,467,How long can the virus live,7.0,unclassified,transmission,transmission
79,219,I feel heaviness in my chest nothing else from last 2 week,7.0,unclassified,nextsteps,nextsteps
80,438,how long does COVID 19 virus lasts in the body,7.0,unclassified,virus life,virus life
81,384,How long does the virus survive on a surface like a doorknob,7.0,unclassified,transmission,transmission
82,239,How long does the virus live on clothes,7.0,unclassified,transmission,transmission
83,260,How long am I infectious for,7.0,unclassified,transmission,transmission
84,327,How long does the virus remain active and alive after attacking a human body,7.0,unclassified,,
85,561,How long do you think we will have to be in a lockdown,7.0,unclassified,lockdown,lockdown
86,184,I d love to know how long I can be contagious,7.0,unclassified,virus life,virus life
87,277,How long can the covid 19 survive outside the body,7.0,unclassified,virus life,virus life
88,555,I had a bronchitis last month and I m still having trouble with my breathing a month later but I don t have a fever Could it be corona virus,7.0,unclassified,nextsteps,nextsteps
89,59,How long are you contagious if you have Coronavirus,7.0,unclassified,,
90,685,If I cross someone on the street how are the chance to catch the virus,8.0,unclassified,,
91,551,Is the virus deadly,8.0,unclassified,,
92,458,If I inhale a high concentration of soap bubbles would that kill the virus on contact in my lungs,8.0,unclassified,,
93,538,When this virus terminated,8.0,unclassified,,
94,436,How did this virus transmit,8.0,unclassified,,
95,262,Is the virus vulnerable to high temperature Does steam cleaning the surfaces and cloths kills the virus,8.0,unclassified,,
96,315,Isn t the economy impact and the panic reaction going to kill more than the virus It seems the virus only kills 1 while over 30 of the population might lose their jobs,8.0,unclassified,,
97,278,Has the virus evolved,8.0,unclassified,,
98,197,How deadly is the virus,8.0,unclassified,,
99,190,Will the virus affect my sexual ability,8.0,unclassified,,
100,503,Does soap really kill the virus,8.0,unclassified,,
101,578,Is the virus airborne,8.0,unclassified,,
102,670,how painful will it be if I got the virus,8.0,unclassified,,
103,153,How severe is the virus,8.0,unclassified,,
104,156,Does temperature has any effect on the virus,8.0,unclassified,,
105,656,How contagious is the virus,8.0,unclassified,,
106,162,How is covid transmitted,8.0,unclassified,,
107,630,How is it transmitted,8.0,unclassified,,
108,629,How deadly is the virus,8.0,unclassified,,
109,281,Can this virus infect me in an airborne fashion,8.0,unclassified,,
110,596,how can one fight the virus,8.0,unclassified,,
111,620,What is the difference between a bacteria and a virus,8.0,unclassified,,
112,25,Do we see a future where this virus won t be such a threat anymore,8.0,unclassified,,
113,468,what is my level of risk,9.0,unclassified,risk,risk
114,6,What mesures needs to take a pregnant women to reduce the risk,9.0,unclassified,risk,risk
115,107,Who is at risk,9.0,unclassified,risk,risk
116,294,Who is most at risk,9.0,unclassified,risk,risk
117,301,what are the risks for someone aged 65,9.0,unclassified,risk,risk
118,340,What is the risk for a pregnant women,9.0,unclassified,risk,risk
119,343,What is the risk for an asthmatic,9.0,unclassified,risk,risk
120,381,if someone had pneumonia before are they more at risk,9.0,unclassified,risk,risk
121,352,What are the risks for people with diabetes,9.0,unclassified,risk,risk
122,385,what is the risk for a pregnent woman,9.0,unclassified,risk,risk
123,85,who is at risk of dying after contracting the virus,9.0,unclassified,risk,risk
124,396,Are there any risk for the foetus,9.0,unclassified,risk,risk
125,283,How dangerous it is for pregnant womens,10.0,unclassified,dangerous,dangerous
126,643,Why corona is so dangerous,10.0,unclassified,dangerous,dangerous
127,179,Is covid very dangerous,10.0,unclassified,dangerous,dangerous
128,337,is covid 19 dangerous,10.0,unclassified,dangerous,dangerous
129,563,Is it dangerous to go for a walk,10.0,unclassified,dangerous,dangerous
130,653,is it dangerous to travel,10.0,unclassified,dangerous,dangerous
131,667,How dangerous is the COV 19,10.0,unclassified,dangerous,dangerous
132,100,where can I help,11.0,unclassified,,
133,649,Does Wearing gloves help,11.0,unclassified,,
134,350,Should I be worried about getting sick if the government does not lock down everything,11.0,unclassified,,
135,387,When will life get back to normal,11.0,unclassified,,
136,536,Should I use Sudafed,11.0,unclassified,,
137,7,Do you think Taiwan is good,11.0,unclassified,,
138,106,is the grocery open,11.0,unclassified,,
139,456,Do I need to be seen by a doctor,11.0,unclassified,,
140,370,What should I use to disinfect grocery bags and grocery items,11.0,unclassified,,
141,616,What should I buy from the stores now that I feel sick,11.0,unclassified,,
142,673,Does eating Oranges daily help to fight this virus,11.0,unclassified,,
143,24,Will the heat of the summer help fighting the virus,11.0,unclassified,,
144,415,Do I need to wash my vegetables and fruits,11.0,unclassified,,
145,144,I think I m sick,11.0,unclassified,,
146,209,Are there any federal or provincial services to help senior citizens get grocery safely,11.0,unclassified,,
147,263,Is it safe to get a new job that deals with the public,11.0,unclassified,,
148,242,Will it get better in summer with higher temperatures,11.0,unclassified,,
149,191,What have you implemented to help older people who do not know how to use the internet phone to obtain their groceries and medicine,11.0,unclassified,,
150,161,Will the groceries shut down,11.0,unclassified,,
151,167,Do I need to disinfect things I buy like groceries and supplies,11.0,unclassified,,
152,113,What are the best food to get good immune,11.0,unclassified,,
153,254,How long does the virus stay in paper money and coins,12.0,unclassified,,
154,135,Can COVID 19 stay alive on fresh fruit and vegetables,12.0,unclassified,,
155,251,how much does corona virus stay on each kind of surfaces,12.0,unclassified,,
156,645,Does covid transfer through air,12.0,unclassified,,
157,35,Can the Covid survive in the air,12.0,unclassified,,
158,116,How long could the virus stay alive on doorknobs traffic signal buttons stair rails,12.0,unclassified,,
159,440,If you contract COVID 19 how do you treat yourself at home,12.0,unclassified,,
160,375,Is COVID 19 air borne,12.0,unclassified,,
161,482,How long has the virus been spreading in Canada,13.0,unclassified,transmission,transmission
162,639,How is the corona virus being spread,13.0,unclassified,transmission,transmission
163,56,How does it spread,13.0,unclassified,transmission,transmission
164,386,treatment for covid 19,14.0,unclassified,transmission,transmission
165,192,When will the cure be available,14.0,unclassified,treatment,treatment
166,53,When will the treatment be available for this pandemic,14.0,unclassified,treatment,treatment
167,166,I heard hydroxychloroquine is a good treatment for COVID 19 Where can I get it,14.0,unclassified,treatment,treatment
168,597,What about the researches with respect to treatment of COVID 19,14.0,unclassified,treatment,treatment
169,476,what treatments are available for covid 19,14.0,unclassified,treatment,treatment
170,305,How long is the treatment,14.0,unclassified,treatment,treatment
171,430,When will the pandemic end,15.0,unclassified,end,end
172,373,what is pandemic,15.0,unclassified,end,end
173,208,When will this end,15.0,unclassified,end,end
174,289,When this will ever end,15.0,unclassified,end,end
175,114,when is this pandemic going to end,15.0,unclassified,end,end
176,196,when will the pandemic end,15.0,unclassified,end,end
177,539,When will covid end,15.0,unclassified,end,end
178,493,Why didn t you answer my first question,16.0,unclassified,,
179,492,What s the current count in India,16.0,unclassified,cases,cases
180,441,What s happen for country near the Ecuador with a lot of hot,16.0,unclassified,,
181,71,Will the largest commercial suppliers in the country be urged to provide necessities for each household for delivery We have Sobey s Loblaw Amazon Walmart and Intelcom who do this today but in an unconcerted way,16.0,unclassified,,
182,67,As of today can we gather only 2,16.0,unclassified,,
183,452,im sneezing should i be worried,16.0,unclassified,,
184,215,How do I know if my chest is hurt because lung damage or another cause,16.0,unclassified,,
185,469,What will be th impact on international students,16.0,unclassified,,
186,61,Chlono,16.0,unclassified,,
187,217,What should I do,16.0,unclassified,,
188,141,When will the schools reopen,16.0,unclassified,,
189,459,Can I fo,16.0,unclassified,,
190,462,What is your name,16.0,unclassified,,
191,65,Where can we find ventilator,16.0,unclassified,,
192,20,South korea,16.0,unclassified,,
193,623,is it made by human or by nature,16.0,unclassified,,
194,23,What is,16.0,unclassified,,
195,489,What is the situation right now in the world,16.0,unclassified,,
196,174,Will 1 meter distancing safe,16.0,unclassified,,
197,408,I recently relocated to Quebec Can I request RAMQ card with visiting the RAMQ office,16.0,unclassified,,
198,516,hat should I do if my 2 year old child starts having a runny nose,16.0,unclassified,,
199,601,Is ordering food from a restaurant discouraged,16.0,unclassified,,
200,595,Impacts of it,16.0,unclassified,,
201,593,Should I visit my parents in a seniors home,16.0,unclassified,,
202,592,when will germany reach the peak,16.0,unclassified,,
203,590,Is it transmissible through anal sex,16.0,unclassified,,
204,588,Covid19,16.0,unclassified,,
205,587,what has caused it,16.0,unclassified,,
206,584,Can I still see my friends,16.0,unclassified,,
207,605,What s the capital of Palestine,16.0,unclassified,,
208,579,If this is really deep learning how deep is your model,16.0,unclassified,,
209,181,Will there be any changes in PGWP,16.0,unclassified,,
210,39,Are there still flights within Canada,16.0,unclassified,,
211,575,Sorry I het enter before I was done am I just being paranoid and giving myself an ulcer my husband has pulmonary fibrosis so I m really worried about him,16.0,unclassified,,
212,505,My son is flying from Kansas to England on the 30th April He is flying into Heathrow and then travelling home to Manchester by train,16.0,unclassified,,
213,571,How are you,16.0,unclassified,,
214,568,Does washing clothes in the washing machine prevent transmission,16.0,unclassified,,
215,567,Mortality rate today,16.0,unclassified,,
216,187,what is canada quarantine policy,16.0,unclassified,,
217,564,is the liquor store open,16.0,unclassified,,
218,558,Is Covid19 an airborne,16.0,unclassified,,
219,549,What the size,16.0,unclassified,,
220,138,I worry for my mental health during quarantine,16.0,unclassified,,
221,43,Precautions to measure,16.0,unclassified,,
222,52,mental health,16.0,unclassified,,
223,541,Suffering from trout echiting,16.0,unclassified,,
224,201,what is this site,16.0,unclassified,,
225,534,Have there been any deceased children so far,16.0,unclassified,,
226,523,What should i do if i am short of breath,16.0,unclassified,,
227,131,When should I visit a doctor,16.0,unclassified,,
228,529,When will the municipalities post heat maps to identify hot spots for Covid positive residents,16.0,unclassified,,
229,634,What is the situation now in my country,16.0,unclassified,,
230,12,What is it,16.0,unclassified,,
231,240,What is the mortality rate,16.0,unclassified,,
232,88,What s the point of asking you questions if you don t have answers,16.0,unclassified,,
233,371,How much it s prevelent in Pakistan,16.0,unclassified,,
234,432,How are you,16.0,unclassified,,
235,362,what is self monitoring,16.0,unclassified,,
236,358,how to prevent,16.0,unclassified,,
237,89,why is my dick so big,16.0,unclassified,,
238,250,Hypertension,16.0,unclassified,,
239,8,How s the shortness of breath,16.0,unclassified,,
240,252,Could stores open a few hours a week for the elderly,16.0,unclassified,,
241,665,Is it safe to jog run outside,16.0,unclassified,,
242,237,Are vet clinics still open,16.0,unclassified,,
243,336,Is it safe to give blood,16.0,unclassified,,
244,324,When should I contact a doctor,16.0,unclassified,,
245,321,What are effective immunity boosters,16.0,unclassified,,
246,313,how old are you,16.0,unclassified,,
247,104,What is the advice surrounding outdoor exercise sport,16.0,unclassified,,
248,310,How i know that i m ill,16.0,unclassified,,
249,149,When do I expect to hear back from you,16.0,unclassified,,
250,148,My father is 80 years and food is delivered to him daily Can food containers and food itself be contaminated by COVID,16.0,unclassified,,
251,307,Should I not touch my mail,16.0,unclassified,,
252,304,Option to run the questions for children,16.0,unclassified,,
253,272,who can you do,16.0,unclassified,,
254,290,waht are thenoptiin to disinfect hands and surfaces other than soap and alcohol,16.0,unclassified,,
255,155,When will be done,16.0,unclassified,,
256,658,could we have done better,16.0,unclassified,,
257,27,Non,16.0,unclassified,,
258,119,good morning,16.0,unclassified,,
259,426,WHat is your name,16.0,unclassified,,
260,13,How to avoid exposure,16.0,unclassified,,
261,642,What should you do if you dont have water and soap and sanitizer,16.0,unclassified,,
262,77,How can I make the difference between a cold and covid19,16.0,unclassified,,
263,227,how are you,16.0,unclassified,,
264,410,In this time of crisis is it okay to feed the raccoons,16.0,unclassified,,
265,405,When will we be back to work,16.0,unclassified,,
266,164,Is ACE Inhibitor harmful,16.0,unclassified,,
267,126,what is canada s situation right now,16.0,unclassified,,
268,160,Why is Trudeau asleep,16.0,unclassified,,
269,398,Who can I make the difference between a cold and covid19,16.0,unclassified,,
270,214,How long does it last,17.0,unclassified,end,end
271,548,Is there an estimate as to how long the crisis will last,17.0,unclassified,end,end
272,406,How long the sickens last m,17.0,unclassified,end,end
273,633,How long is this expected to last,17.0,unclassified,end,end
274,372,How long will it last,17.0,unclassified,end,end
275,501,How long will the pandemic last,17.0,unclassified,end,end
276,457,About COVID 19,18.0,unclassified,about,about
277,147,Covid 19,18.0,unclassified,about,about
278,589,Covid 19,18.0,unclassified,about,about
279,360,Why Covid 19,18.0,unclassified,about,about
280,188,Covid,18.0,unclassified,about,about
281,145,Will high temperature kill coronavirus,19.0,unclassified,,
282,109,Is it true that warm kills Coronavirus,19.0,unclassified,,
283,682,Is the phlegm color suggestive of coronavirus,19.0,unclassified,,
284,82,How do I treat coronavirus,19.0,unclassified,,
285,221,Can anti viral drugs be used to treat the coronavirus,19.0,unclassified,,
286,338,How to differentiate between coronavirus and simple flu,19.0,unclassified,,
287,90,Is it true that warm kills Coronavirus,19.0,unclassified,,
288,540,How do I distinguish between the flu and coronavirus,19.0,unclassified,,
289,76,how is covid 19 spread,20.0,unclassified,transmission,transmission
290,79,How does COVID 19 spread,20.0,unclassified,transmission,transmission
291,376,How does Covid 19 spread,20.0,unclassified,transmission,transmission
292,496,What should I do if I start coughing,21.0,unclassified,nextsteps,nextsteps
293,297,If I am starting to breath heavily should I get it checked out,21.0,unclassified,nextsteps,nextsteps
294,431,What to do when i gave cough,21.0,unclassified,nextsteps,nextsteps
295,655,should I call to find out more it s the coughing and difficulty breathing and fatigue that worries me,21.0,unclassified,nextsteps,nextsteps
296,224,where did it start,21.0,unclassified,,
297,412,i am coughing what should i do,21.0,unclassified,nextsteps,nextsteps
298,378,If you recover from the virus can you still be a carrier,22.0,unclassified,,
299,514,Is there any medication to take to help,22.0,unclassified,,
300,257,If I fully recover from COVID 19 would I still be considered a carrier and transmit the virus,22.0,unclassified,,
301,261,Should I take the metro,22.0,unclassified,protection/precaution,protection/precaution
302,303,What precautions should I take with things delivered at home,22.0,unclassified,protection/precaution,protection/precaution
303,102,How often should i take my temperature,22.0,unclassified,,
304,661,Is it safe to take a walk outside with my child,22.0,unclassified,risk,risk
305,143,Is it true that you can get the virus again even after you ve recovered,22.0,unclassified,,
306,460,What measures can I take if someone I know is effected with the virus,22.0,unclassified,,
307,203,Is it useful to wear a mask if we are not sick,23.0,unclassified,,
308,96,Should I wear mask,23.0,unclassified,,
309,150,Do I need a mask,23.0,unclassified,,
310,486,Why does the government think that we don t need to wear face masks when clearly citizens from countries that are able to contain the virus are all wearing face masks regardless if they are sick or not,23.0,unclassified,,
311,171,Does a mask actually help if I m not sick,23.0,unclassified,,
312,657,what is this rainbow thing that people are talking about,24.0,unclassified,,
313,286,How many thing you do not understand,24.0,unclassified,,
314,287,Do we have this epidemic and many more to come because we re not taking care of the earth we re destroying more and more trees and humans are eating more wild animals that have viruses per a talk from Alanna Shaikh,24.0,unclassified,,
315,225,How many case in montreal,24.0,unclassified,cases,cases
316,309,How many patients are across the globe,24.0,unclassified,cases,cases
317,280,How do we best organize people so that duplicate work is not being done,24.0,unclassified,,
318,393,Will people on LTD Long Term Disability drill receive their payments,24.0,unclassified,,
319,128,how to interact with people,24.0,unclassified,,
320,229,What is the probability of dying,24.0,unclassified,,
321,68,what are the conditions under which people are most likely to develop complications versus those who won t,24.0,unclassified,,
322,599,How many will lose their jobs due to the chinese virus,24.0,unclassified,,
323,484,Shall we stay where we are or travel to our home country,25.0,unclassified,,
324,26,Do the virus stay in air,25.0,unclassified,,
325,671,Should I stay home,25.0,unclassified,isolation,isolation
326,317,Does the virus stay on clothing,25.0,unclassified,,
327,328,Is staying at home mandatory,25.0,unclassified,isolation,isolation
328,666,How to stay safe,25.0,unclassified,,
329,403,How long can the virus stay in the air,25.0,unclassified,,
330,136,Hello what happens after corona,26.0,unclassified,,
331,275,Why is it called Corona virus,26.0,unclassified,,
332,418,how to know that somebody have a corona,26.0,unclassified,,
333,402,Does the fever persists in corona,26.0,unclassified,,
334,481,is there a new form of corona virus,26.0,unclassified,,
335,434,What the different between corona and COVID_19,26.0,unclassified,,
336,546,How many Canadians currently have corona virus,26.0,unclassified,,
337,475,Corona virus characteristics,26.0,unclassified,,
338,366,How long will I be sick if I get the virus,27.0,unclassified,,
339,391,Can you get the virus twice,27.0,unclassified,,
